variable,value_estimate,source,type_estimate,weight,link,section_page
total_national_demand_gwh,274000,PNIEC,lower bound,0.5,https://www.miteco.gob.es/content/dam/miteco/es/energia/files-1/pniec-2023-2030/PNIEC_2024_240924.pdf,page 514
total_national_demand_gwh,295000,McKinsey,lower bound,0.5,https://www.mckinsey.com/industries/electric-power-and-natural-gas/our-insights/the-iberian-green-industrial-opportunity-electrification-and-renewables?utm_source=chatgpt.com,Exhibit 1
total_national_demand_gwh,280000,Enerjoin,central,1,https://www.pv-magazine.com/2023/06/29/spain-targeting-56-gw-of-new-solar-by-2030-under-new-energy-strategy/,They say is impossible to reach demand as PNIEC plans to do
total_national_demand_gwh,294000,Aurora Energy Research,central,1,"https://auroraer.com/media/green-hydrogen-becomes-key-to-spains-ambitious-decarbonisation-amid-structural-and-regulatory-challenges/#:~:text=By%202030%2C%20electricity%20demand%20in,coming%20from%20green%20hydrogen%20production.",1st paragraph
total_national_demand_gwh,286500,Electricity Optimization,central-old,0.2,http://mixspain.psa.es/optimization/year%202030/year%202040/year%202050/optimization_60_75_90/,NA
coal_cap_gw,0,PNIEC,central,1,https://www.miteco.gob.es/content/dam/miteco/es/energia/files-1/pniec-2023-2030/PNIEC_2024_240924.pdf,Page 631
coal_cap_gw,0,Aurora Energy Research,central,1,Aurora report 2025,page 187
coal_cap_gw,0,UNFCC,central,1,https://unfccc.int/news/end-of-coal-in-sight-at-cop26,page 16
coal_cap_gw,0,Red Eléctrica,central,1,https://www.ree.es/sites/default/files/14_OPERACION/Documentos/Red_Electrica_SpanishPeninsularPowerSystem_NRAA_23_v3.pdf,Page 35
combined_cycle_cap_gw,24.5,PNIEC,central,1,https://www.miteco.gob.es/content/dam/miteco/es/energia/files-1/pniec-2023-2030/PNIEC_2024_240924.pdf,Page 631
combined_cycle_cap_gw,25,Aurora Energy Research,central,1,Aurora report 2025,page 187
combined_cycle_cap_gw,24.5,Red Eléctrica,central,1,https://www.ree.es/sites/default/files/14_OPERACION/Documentos/Red_Electrica_SpanishPeninsularPowerSystem_NRAA_23_v3.pdf,Page 35
gas_turbine_cap_gw,NA,NA,none,1,NA,NA
vapor_turbine_cap_gw,NA,NA,none,1,NA,NA
cogeneration_cap_gw,4.205,PNIEC,central,1,https://www.miteco.gob.es/content/dam/miteco/es/energia/files-1/pniec-2023-2030/PNIEC_2024_240924.pdf,Page 631
cogeneration_cap_gw,4.3,Aurora Energy Research,central,1,Aurora report 2025,Page 117
diesel_cap_gw,NA,NA,none,1,NA,NA
nonrenewable_waste_cap_gw,NA,NA,none,1,NA,NA
nuclear_cap_gw,3.041,PNIEC,central,1,https://www.miteco.gob.es/content/dam/miteco/es/energia/files-1/pniec-2023-2030/PNIEC_2024_240924.pdf,Page 631
nuclear_cap_gw,4,Aurora Energy Research,central,1,Aurora report 2025,Page 187
nuclear_cap_gw,4.117,Year Nucnet,central,1,https://www.nucnet.org/news/nuclear-plants-should-operate-for-20-more-years-says-industry-group-3-1-2023,NA
