variable,hist_mean_value_2020,hist_mean_value_2021,hist_mean_value_2022,hist_mean_value_2023,hist_mean_value_2024,estimated_value_2030,source,type_estimate,weight,delta_wrt_2020,delta_wrt_2021,delta_wrt_2022,delta_wrt_2023,delta_wrt_2024
total_national_demand_gwh,251211.207,257956.812,251174.917,244687.889,247676.078,274000,PNIEC,lower bound,0.5,0.091,0.062,0.091,0.12,0.106
total_national_demand_gwh,251211.207,257956.812,251174.917,244687.889,247676.078,295000,McKinsey,lower bound,0.5,0.174,0.144,0.174,0.206,0.191
total_national_demand_gwh,251211.207,257956.812,251174.917,244687.889,247676.078,280000,Enerjoin,central,1,0.115,0.085,0.115,0.144,0.131
total_national_demand_gwh,251211.207,257956.812,251174.917,244687.889,247676.078,294000,Aurora Energy Research,central,1,0.17,0.14,0.17,0.202,0.187
total_national_demand_gwh,251211.207,257956.812,251174.917,244687.889,247676.078,286500,Electricity Optimization,central-old,0.2,0.14,0.111,0.141,0.171,0.157
coal_cap_gw,8.139,4.697,3.613,3.345,2.061,0,PNIEC,central,1,-1,-1,-1,-1,-1
coal_cap_gw,8.139,4.697,3.613,3.345,2.061,0,Aurora Energy Research,central,1,-1,-1,-1,-1,-1
coal_cap_gw,8.139,4.697,3.613,3.345,2.061,0,UNFCC,central,1,-1,-1,-1,-1,-1
coal_cap_gw,8.139,4.697,3.613,3.345,2.061,0,Red Eléctrica,central,1,-1,-1,-1,-1,-1
combined_cycle_cap_gw,26.25,26.25,26.25,26.25,26.25,24.5,PNIEC,central,1,-0.067,-0.067,-0.067,-0.067,-0.067
combined_cycle_cap_gw,26.25,26.25,26.25,26.25,26.25,25,Aurora Energy Research,central,1,-0.048,-0.048,-0.048,-0.048,-0.048
combined_cycle_cap_gw,26.25,26.25,26.25,26.25,26.25,24.5,Red Eléctrica,central,1,-0.067,-0.067,-0.067,-0.067,-0.067
gas_turbine_cap_gw,1.149,1.149,1.149,1.149,1.149,NA,NA,none,1,0,0,0,0,0
vapor_turbine_cap_gw,0.483,0.483,0.483,0.483,0.483,NA,NA,none,1,0,0,0,0,0
