technology,efficiency,fossil_fuel,direct_e_tco2_gwh,var_om_eur_gwh,fixed_om_Meur_gwy
coal,0.36,1,820,8550,80.56
combined_cycle,0.57,1,360,2289.5,36.005
gas_turbine,0.52,1,650,6593,23.75
vapor_turbine,0.52,1,700,6593,23.75
cogeneration,0.57,1,490,1831.6,36.005
diesel,0.3,1,820,4750,33.25
nonrenewable_waste,0,1,230,11077,155.8
nuclear,1,0,0,12660,193.8
conventional_hydro,0,0,0,0,87.4
run_of_river_hydro,0,0,0,0,88
solar_pv,0,0,0,0,18.734
solar_thermal,0,0,0,2764.5,70.87
wind,0,0,0,0,29.365
other_renewable,0,0,0,4750,155.8
renewable_waste,0,0,0,4750,155.8
pumped_hydro,0,0,0,551,19.143
battery,0,0,0,0,38.295
