iteration,mip_gap,solve_time,baseline_year,day_start,avg_price,max_price,min_price,std_price,residential_demand,commercial_demand,industrial_demand,total_demand,consumer_surplus,producer_surplus,total_cost,net_welfare,coal_gen,combined_cycle_gen,gas_turbine_gen,vapor_turbine_gen,cogeneration_gen,diesel_gen,non_renewable_waste_gen,nuclear_gen,conventional_hydro_gen,run_of_river_hydro_gen,solar_pv_gen,solar_thermal_gen,wind_gen,other_renewable_gen,renewable_waste_gen,pumped_hydro_pumping,pumped_hydro_out,battery_charge,battery_out,initial_ph_stock,initial_batt_stock,mean_ph_stock,mean_batt_stock,max_ph_stock,max_batt_stock,total_generation,renewable_gen,low_carbon_gen,non_renewable_gen,storage_out,share_renewable_gen,share_low_carbon_gen,share_storage_out,share_min_non_ren,min_share_ren,max_share_ren,curt_solar_pv,curt_solar_thermal,curt_wind,load_shedding,total_ens,lole_hours,imports_FRA,imports_POR,imports_MOR,exports_FRA,exports_POR,exports_MOR,direct_emissions
1,0.0,2.181748151779175,2023,4,116.03200183298387,182.45681377774895,0.005391179833444767,32.39095831742856,139547.99254698446,94098.4043089188,61384.443679337106,295030.8405352404,6.431889595213445e11,1.4181805018671597e10,2.0686012667187428e10,6.573707645400161e11,0.0,103607.97488470787,1.3329910690566362,0.0,5557.66006127276,1355.0943336543157,1402.6867294572735,26272.019986563035,13779.278878571418,2855.0797542015216,49403.072398098695,9895.297062224896,77477.30174062867,10951.654373119269,1043.6685317192341,1663.1634224474446,1271.27066447093,5114.170099565011,4647.2850957072715,16.346317004745554,10.18758876730576,25.14355015287008,17.747718406787012,49.99999999999959,35.86143592605541,303602.1340613395,165405.3650746037,191677.38506116674,138196.7689867358,5918.555760202265,0.5448096258809081,0.631343997807474,0.019494447160264314,0.14471025303714777,0.11658933926673283,0.9241673122060973,3.2842301062041557e-6,7.817189027758964e-6,0.0,0.0,0.0,0.0,1432.4902590625,770.1355277008928,94.47335828125,2311.6562816294645,2718.2917481696436,554.1923139955358,9.534209542132232e6
2,0.0,2.6949729919433594,2021,20,86.29827526402374,260.6075699571902,0.001052308664226075,66.94555316208087,142847.5885277727,98353.28665318446,64599.605236350086,305800.4804173072,8.766336922799155e11,1.0280083954206818e10,1.5800218706977865e10,8.869137762341223e11,0.0,53667.81291862977,0.0,0.0,5477.828415120768,1372.5529171175929,1112.4752169511337,26000.845890658846,18456.27729993498,2469.8439645496096,65333.9922490951,8267.863278843435,117119.8570314593,9123.139813189067,833.8535229816915,5766.43964362272,4368.367756021868,9426.785892458116,8488.75703986403,21.561897217200574,10.6022963835209,31.152780538445242,14.942014567977358,49.99999999986799,27.641067513974875,309236.3507824931,221604.8354216671,247605.681312326,87631.51536082597,12857.124928170833,0.7166196175220579,0.8007004373379243,0.04157701672405946,0.14047386479851495,0.12345983909398821,0.9419118942050911,0.029509106616045888,0.2607955170598055,0.02074316237151519,0.0,0.0,0.0,11571.953117857143,3848.3063507142856,683.23665,5653.237925714287,6650.883688928571,312.13251866071425,5.378279388005087e6
3,0.0,2.300258159637451,2022,4,50.38061764413866,137.13190481201212,0.0011336081527988427,44.25085615541011,130862.20018191192,90230.66329537655,60647.72935341949,281740.59283070796,1.2663881388202786e12,1.2587588624836552e9,1.2347184001934357e10,1.2676468976827625e12,0.0,40142.56554901232,0.0,0.0,5554.111430178773,1428.6704789267617,1005.0681342454708,21622.425256686896,11415.693949995139,2504.4766286179433,104521.26137000938,3279.8938151685757,99769.3193421792,7691.521514008297,824.973937123035,9171.29348686244,6876.425732801787,21683.536345505305,19611.901569858608,10.272071465649688,21.00108547898037,24.0525929239206,18.70534886130501,49.99999999999242,40.579655642615855,299759.99772849877,230007.15687929193,251629.58213597885,69752.840849207,26488.330225921596,0.76730437223854,0.8394368296062203,0.08836512685696253,0.13173962309230589,0.1214625101804086,0.9407544550970488,0.08460608139201753,0.7035455731213454,0.11661339053430819,0.0,0.0,0.0,2830.7187201785728,893.7133756696428,435.51946915178564,6239.313854323061,6789.1349012499995,558.3161531769385,4.271986714901937e6
4,0.0,2.59106183052063,2020,2,108.06668150651456,187.63074100807984,0.0058160476682242,39.37842833864308,138299.30847886915,90164.45175826574,56556.46319230461,285020.2234294395,2.1555782249610706e11,1.6195137368468664e10,1.4901654990323963e10,2.3175295986457574e11,0.0,56737.04682764929,0.0,0.0,5696.193925090644,1320.4461734406123,1413.7107045683963,28186.25657082229,18104.750264285365,2719.3696805593618,55622.258728232264,5455.336081073488,105706.96939867752,8485.668771766563,865.0966552100364,1959.3680986774307,1541.669371219304,6755.12668548606,6132.278940938218,26.984813041727563,10.298098080501934,30.390389475953754,24.941081105820462,49.9999999999891,40.96876541280077,290313.2708242728,196959.61662248583,225145.87319330813,93353.65420178701,7673.948312618781,0.6784382128425189,0.7755273210696226,0.026433336274399376,0.15767485602637565,0.17376707982226966,0.9393554948437757,8.459663217996738e-5,0.024943555073421497,3.218581486419403e-5,0.0,0.0,0.0,9145.93683294643,4354.876010892857,291.2611335714285,6425.560876964284,6655.788170267857,687.8942397321429,5.663104342986736e6
5,0.0,2.2571358680725098,2024,15,93.92803792763381,139.21794595573982,2.177804872213044,41.73896510811163,134173.02898703676,90295.14012787085,57323.072399455814,281791.24151436344,4.409284025285759e11,1.091355022949531e10,1.6549121539526653e10,4.518419527580712e11,0.0,75494.61598584252,0.0,0.0,5597.2082138086735,1408.0488520644174,1359.4797455900207,19597.830082178443,18387.436371428532,2807.1391540783484,41698.016729929695,7226.531805354312,104827.91563614139,10686.689422029436,879.2175853247527,5053.552758647071,3829.5108168726,2948.3156550506556,2685.675601452327,12.515674227225118,7.002840329710763,26.091873472810835,6.993688783389105,49.999999999999474,13.2919037179319,289970.1766817925,186512.9938023013,206110.82388447976,103457.18287949117,6515.186418363576,0.6432144020347892,0.7108000769012246,0.022468470699016793,0.1292051480514255,0.1918267095599426,0.9395951390900529,0.0,0.0018956049029127398,0.0,0.0,0.0,0.0,2371.852623214286,662.4568600446428,100.13764658482144,1642.1264096874997,3260.5739662499996,697.1621649776786,7.218589544442503e6
6,0.0,2.183420181274414,2020,11,62.85943217110354,176.77624862709223,0.0031216527936339844,56.87900006622928,134860.97388284354,91887.95017498845,59728.567541039454,286477.4915988715,2.335024153012906e11,4.99161262782325e9,1.2483427086563074e10,2.3849402792911383e11,0.0,30009.339108473105,0.0,0.0,5610.416623283541,1371.8683083233764,1016.0109197825709,28327.829424006868,18920.652671428146,2385.0694778888133,99978.90026832436,2515.022529095861,90829.0065909129,7815.770944606212,723.0534095076873,8630.200337160646,6524.504972932527,15704.657824730104,14207.942524752774,18.434618044959425,16.124883883418267,26.15304874447833,13.981907018255859,49.9999999999941,29.100304510256645,289503.0113189926,223167.54693494944,251495.3763589563,66335.46438404312,20732.447498203175,0.7708643371900868,0.8687141982155168,0.07161392692858336,0.1594232446054427,0.2304348235264389,0.9411349111872163,0.09470003639425961,0.7246445659621823,0.14105736291542914,0.0,0.0,0.0,11442.19705526786,5185.441118392858,278.944164375,5591.9010149107135,5957.62744875,483.0070348214285,3.4292423898942973e6
7,0.0,2.0128228664398193,2022,12,83.00876308841661,109.26844155658037,0.0021500986228456895,15.038168271918773,133708.93086130635,93301.64836569446,61851.32241543734,288861.901642438,1.114497413320453e12,8.588896485297196e9,1.5698418233015602e10,1.12308630980575e12,0.0,96057.93825522508,0.0,0.0,5522.994101912488,1390.4466528249582,1529.0457852934555,21720.090575435443,12237.617764285471,2729.772708223671,47013.79778940413,3125.1114292191705,102436.49743783702,9233.092234501037,923.9614971203048,1345.494951031388,1067.64759077544,1866.5824181144453,1694.980966483166,24.47575864128331,2.928299022046265,22.830345971924096,5.344090396345056,49.999999999942894,11.978612337813933,303921.3345829112,177700.81921208143,199420.90978751687,126220.51537082967,2762.6285577298804,0.5846934683145905,0.6561596278234092,0.009089946125438002,0.1296424323217737,0.13947278570675242,0.9333858188824701,0.0001133812746488827,0.009402334488075037,3.104677008280987e-5,0.0,0.0,0.0,2735.883503504464,752.0161564208411,270.38663588512674,6108.857562552373,7215.534222842114,710.9568784224741,8.918367200818611e6
8,0.0,2.11075496673584,2024,9,68.13374110750878,154.01483595918072,0.0,35.40026034946166,140913.05995858277,94013.39057696034,60112.67500197507,295039.12553752004,4.6476676141110956e11,6.687567018175552e9,1.4491838149278965e10,4.714543284292851e11,0.0,77026.97243125748,115.39539129576733,0.0,6311.184507389691,1475.2853669819349,1233.432550548721,19748.173379806365,19212.435242856147,2747.346910005419,44459.514848025196,6674.406693639826,115232.25401962659,8523.304792548543,832.4924526492508,7103.071630104573,5423.794473829864,3014.6332096756128,2723.210411042076,27.25436694974893,1.8613560047320494,26.509030875770147,4.649175631038274,49.99999999996916,9.497373906017176,303592.20649007533,197681.7628618159,217429.93624162226,105910.44362825935,8147.004889140241,0.6511424161617215,0.7161907703606688,0.026835355832517307,0.12386913125362108,0.16104644024354436,0.9422843101207657,0.003909405425856161,0.016265388447298745,0.004771137616443433,0.0,0.0,0.0,1974.9481268822956,805.6923144492596,92.72766982142856,1324.5372190848216,3044.4060187126533,661.2477992037242,7.449177719423624e6
9,0.0,2.0969369411468506,2021,4,97.93921103433914,231.93725148146413,0.0014879937297373545,59.50451784714151,138937.5370743585,94420.54347818822,62622.652078676176,295980.73263122287,7.200995782049088e11,1.440142920518051e10,1.4573770851124487e10,7.345010074100894e11,0.0,49982.014284702316,0.0,0.0,5628.014340848779,1440.9781367732721,1461.513798529231,29557.28171195291,20532.28872856795,2769.4227300683333,65815.52386188744,14118.085180024726,100268.73300889818,9219.932531650502,881.859510756813,5013.509365024499,3769.0177344346594,9733.918381877811,8831.937805687305,12.35967261188063,18.601911233217365,34.539632057866854,21.253691761459407,49.999999999954056,37.56387908827348,301675.65498685755,213605.85271199155,243163.1344239445,88069.80227486602,12600.955553524293,0.7080646024330245,0.8060416225317812,0.04176987882589747,0.15733532125219182,0.15577975581803222,0.9393042334836137,0.002067393163442288,0.1327243902077787,0.0008086672946071571,0.0,0.0,0.0,11524.073799821428,3286.3510936607136,543.6318820535714,5666.550679464285,8435.623809107141,360.6706346428571,5.1214132867921665e6
10,0.0,2.309828042984009,2021,2,51.4789686229508,253.78272707600425,0.0,61.46899318714803,131576.7020537422,89979.13806436142,60180.63444352991,281736.47456163354,6.765228635384845e11,2.880741539115758e9,1.1340059092130302e10,6.794036050776002e11,0.0,21137.476606509477,0.0,0.0,5728.0704528727665,1243.2782981834255,1009.0323651221299,20539.28959824782,20007.12085442433,2239.6119976743266,88175.11939336237,2105.7027559915823,121379.62181453977,6981.960791183384,672.8026064343304,7636.767312134425,5585.136522273139,24764.12543232814,22306.952350704916,12.42279408902554,17.796704885864614,24.9078925855321,19.400743076938408,49.9999999999979,40.287788147905665,291219.09525293834,241561.94793190627,262101.23753015403,49657.14732103206,27892.08887464467,0.8294852633962675,0.9000139132446174,0.09577699171965011,0.13167391699255587,0.12580798297044482,0.9497983527822984,0.11749621372851016,0.7093831469444485,0.1197153618985255,0.0,0.0,0.0,11357.86130857143,2912.077592410715,516.5070256249999,6141.189010624999,9028.87259910714,364.1702079464285,2.683357116765846e6
