iteration,mip_gap,solve_time,baseline_year,day_start,avg_price,max_price,min_price,std_price,residential_demand,commercial_demand,industrial_demand,total_demand,consumer_surplus,producer_surplus,total_cost,net_welfare,coal_gen,combined_cycle_gen,gas_turbine_gen,vapor_turbine_gen,cogeneration_gen,diesel_gen,non_renewable_waste_gen,nuclear_gen,conventional_hydro_gen,run_of_river_hydro_gen,solar_pv_gen,solar_thermal_gen,wind_gen,other_renewable_gen,renewable_waste_gen,pumped_hydro_pumping,pumped_hydro_out,battery_charge,battery_out,initial_ph_stock,initial_batt_stock,mean_ph_stock,mean_batt_stock,max_ph_stock,max_batt_stock,total_generation,renewable_gen,low_carbon_gen,non_renewable_gen,storage_out,share_renewable_gen,share_low_carbon_gen,share_storage_out,share_min_non_ren,min_share_ren,max_share_ren,curt_solar_pv,curt_solar_thermal,curt_wind,load_shedding,total_ens,lole_hours,imports_FRA,imports_POR,imports_MOR,exports_FRA,exports_POR,exports_MOR,direct_emissions
1,0.0,2.1193649768829346,2021,2,114.14582057163028,274.9908229269255,0.0014798860086375498,68.47236180260127,139627.25117179798,94155.58632219618,63781.2505255998,297564.0880195939,7.070857001880217e11,1.760901473589793e10,1.635789487960302e10,7.246947149239197e11,0.0,62141.44763863395,0.0,0.0,5499.307551979166,1309.1182716270625,1489.2871869390292,26866.103693098918,25010.389392855584,3239.5088306020325,62261.230930888436,6016.722342211343,100958.16652364808,8440.194419581414,971.0711979767169,6000.059883232424,4574.106554090239,13.638866598432152,12.211807538962502,24.89232190961575,0.017159683340611943,30.124447026789746,0.02304664158168682,49.999999999905235,0.042163702121028025,304202.5746099826,206897.31026681385,233763.41395991272,97305.2643431686,4586.411639787549,0.6801300433833488,0.7684465335627756,0.015076833737083836,0.14660270428997685,0.10234465945832903,0.9448349412231717,0.014552592164212674,0.19776816925159246,0.007038280792133866,0.0,0.0,0.0,11357.86130857143,2912.077592410715,516.5070256249999,6141.189010624999,9028.87259910714,364.1702079464285,6.09022305402725e6
2,0.0,2.1967151165008545,2023,13,51.951533623747395,172.62388591321232,0.0,48.80143538275585,135606.69306789045,94568.76536776223,64543.89797032547,294719.35640597803,5.921723892385978e11,1.6127154612122571e9,1.3466167660271198e10,5.9378510469981e11,0.0,48540.515213643936,8.54024284600265,2.2731833207425303,5571.781352644904,1345.574469794117,1021.5566322702343,26891.324978429086,16755.46110713017,2671.3106197874004,83272.50363443223,4524.2104176258135,106867.46555916272,7079.077575432187,746.570091994341,10702.154862318566,8104.624399036482,72.42665815919698,65.3893896939229,26.404754021508005,0.04343976303026538,24.395132048664472,0.0501096353880322,49.999999999995595,0.10540925533493176,305298.1744348678,221916.6083618008,248807.9333402299,83381.5660730669,8170.013789958141,0.7268848193166789,0.8149669869490507,0.02676076856693137,0.14564738537430752,0.1533350669004328,0.9311129293460773,0.09594048779807751,0.6970535377392106,0.1236577929439937,0.0,0.0,0.0,1692.770811540178,473.70922647321424,92.11468031250001,2200.7238778348215,2938.114101674106,673.2332025669641,4.956110347965984e6
3,0.0,2.1875791549682617,2021,14,86.1292874769623,300.286026715911,0.0,83.1064371823122,140299.583301281,97388.81033560025,65956.67315311676,303645.06678999803,8.508804467245779e11,8.299232231352831e9,1.7333827797813408e10,8.591796789559307e11,0.0,58491.2123746967,2.4932839524538393,0.0,5794.662822979621,1323.0313276808354,1226.1166632575487,25934.54689103982,24170.08393749744,2669.6836103382852,101993.57954659946,1925.5265981730781,77567.63529812888,8275.93147757129,868.8635641207549,11065.937049992814,8340.529725044158,25.021852020782283,22.48124984410738,13.320400422370135,0.017148007621363738,25.189435037881832,0.02041645014370002,49.9999999999419,0.042163702119240906,310243.3979830087,217471.33461858483,243405.88150962468,92772.06336442388,8363.074499732802,0.7009700642541803,0.7845642585533937,0.026956494655821256,0.14072481132889045,0.127901556683177,0.9355567098734212,0.12197297206391777,0.6838300860361717,0.17190508687604256,0.0,0.0,0.0,10434.174278660716,4349.864867857143,633.483208125,6517.397119375,7778.679680357142,437.2606898214285,5.810370127680329e6
4,0.0,2.258985996246338,2021,5,59.03744403129444,370.480632133706,0.0,64.41798825453931,140892.16270617914,96066.10206073854,66106.10743009519,303064.37219701294,7.44131900409073e11,4.34175083398662e9,1.2771432147398367e10,7.484736512430596e11,0.0,29620.97157505867,10.820287222981621,2.2363232176210452,5517.204869914643,1449.4906585098017,989.6545422710689,25234.374380685113,25592.57921804696,2839.948571856541,88749.46705062137,3643.5515217770676,117380.08472492342,7818.771082203121,738.2331178481656,10093.152831846595,7607.17222463036,32.48273408252953,29.232639181824567,13.939539914105021,0.020482119405987705,27.556539722680178,0.021090564185477938,49.9999999999238,0.04216370209155879,309587.3949559452,246762.64231704109,271997.0166977261,62824.75263890416,7636.4781327476385,0.7970694102457105,0.8785791060273359,0.024666631320161864,0.13888955369765893,0.2947432605472347,0.9379030388810314,0.16766982232107341,0.7222762080012521,0.1515711123209288,0.0,0.0,0.0,11528.001933125,3205.3396002678564,513.0412379464285,5905.985012142857,8376.330819910714,451.9988751785715,3.401806047294047e6
5,0.0,2.2224488258361816,2023,11,87.21196001072003,184.11418479124225,0.0,37.46290351849189,137715.28889907553,94500.4015369031,63574.82742007792,295790.51785605657,5.989769821401674e11,9.857558985772144e9,1.6252148758920969e10,6.088345411259395e11,0.0,86011.95630568838,0.36704786261390004,0.0,5762.701249663721,1243.2122668620286,1538.4966981565854,20574.983803029732,16764.744544642832,3346.8766429166567,66027.80939411676,6025.928292129672,88830.56696573633,8407.287316894495,974.3183987579454,6091.632128812958,4643.802665704011,38.767591430470986,35.05834443656091,22.495927923170868,0.03329433123268336,24.411028416913815,0.04921211971354086,49.999999999997755,0.10540925533785381,305509.28100032493,190377.56362902885,210952.54743205858,115131.71737129612,4678.861010161251,0.6231482166619559,0.6904947265148197,0.015314955391343001,0.12471636873662767,0.1109378684019619,0.9335620788983183,0.00789912978542695,0.22006014107816696,0.005060060718828918,0.0,0.0,0.0,1518.0393640848213,520.7996045089285,87.18412055803572,2432.953491205357,2833.4981313616067,689.9401723883929,8.08643559229346e6
6,0.0,2.1582798957824707,2022,17,70.824105621427,218.3597503951369,0.0,48.756862136930174,139783.50710804714,97596.88990432672,65947.7653656604,303328.16237803415,1.0491279489935568e12,6.464378592681369e9,1.4480215302150946e10,1.0555923275862383e12,0.0,60553.40737033741,11.235507581061338,1.473739385837166,5748.040894162038,1390.4988351072336,1394.6834801569175,17457.167463902682,15217.83861428546,2958.31992092353,95441.49256794734,2887.17825301619,107232.54177984988,8639.971994029343,999.0656253966558,10736.044658882849,8117.774082416202,37.744819983671164,33.9366151770903,20.033803105069477,0.022591882328651787,23.96810222767229,0.02939138597085656,49.99999999999335,0.06324555320142405,319932.955248656,233376.44795794834,250833.61542185096,86556.50729070773,8151.710697681156,0.7294542313609587,0.7840193118802027,0.02547943425004636,0.11041371957563217,0.16456336432422092,0.9429420315961836,0.08547745791950356,0.6382958373716088,0.09660274389688361,0.0,0.0,0.0,3182.5935912946425,710.5262059151786,200.33378752232144,6034.601331674107,6709.166729263391,782.6174681473215,5.999034527790651e6
7,0.0,2.9446401596069336,2021,6,118.06053681960246,275.0699406202361,0.0,71.42402465105744,128991.4472535666,87145.29197876627,59321.14536530515,275457.884597638,6.810956095516938e11,1.7058155936709585e10,1.530457584828197e10,6.981537654884034e11,0.0,51084.68909920143,0.0,0.0,5741.9630126027905,1382.530683060125,1446.4173799239677,25282.624114831346,25542.180348214348,3536.439023374572,52575.639834006004,3383.9833755264635,100164.83225682618,10122.453416598975,1006.5824820123502,5458.374268038203,4185.174755046743,13.285408549708063,11.988616064795437,25.900896235441333,0.012654811822917953,32.421048325967725,0.023777236581053275,49.99999999999964,0.04216370213526855,281270.66377077677,196332.43948113688,221615.06359596818,84938.22428963995,4197.217526709574,0.6980196116049244,0.7879067821185032,0.014922343732690593,0.1534845704801334,0.20571130987834255,0.9310194987827048,0.008566474457257889,0.15744292808956428,0.005887147158981421,0.0,0.0,0.0,11116.032631696427,3226.8405198214286,513.2080354464285,6190.902101071429,8535.16639169643,536.45545875,5.213726743843976e6
8,0.0,2.3433749675750732,2020,14,42.12690493519822,132.4755655179352,0.002080458731186809,46.04880602117761,129026.3812976392,88953.6145408701,59947.66587269278,277927.66171120206,2.265172963524228e11,4.487092383454522e8,1.0982535318153408e10,2.2696600559076822e11,0.0,23326.131016677726,0.0,0.0,5565.104518391029,1364.5965471192144,603.2909022493631,28734.50758596343,23590.888749993734,3052.323746161033,67844.7750047129,4154.462685724389,112233.1716334575,7609.396351194118,617.3587562571935,8812.356567930203,6666.278336359973,30.13957748954974,26.986847865924027,20.52599802503626,0.013670719934426112,25.854762654149432,0.020358124216538334,49.99999999999561,0.04216370213159105,278696.0246745763,219102.39410406342,247836.90169002683,59593.63057051295,6693.4504915545795,0.7861697860954483,0.8892731856488352,0.02401702894531879,0.16699984260185807,0.27597625597833486,0.9296815494049201,0.11879463658645617,0.7179912530709457,0.09644327154103116,0.0,0.0,0.0,11660.439061160712,5185.627917678572,244.76250401785708,5449.634096249999,5558.643915357144,532.997454375,2.847613673711053e6
9,0.0,2.2177999019622803,2020,12,77.06167517969658,134.0928034368793,0.0015918976774264592,29.930913139190682,126831.37249238513,85566.43425559047,56374.651684825396,268772.45843280095,2.201378193883511e11,8.016640784751402e9,1.2886663917956562e10,2.2815446017310254e11,0.0,57593.85094412836,0.0,0.0,5542.704593343589,1249.877531693766,1545.9911845023487,18016.242342319383,24090.198544642506,3981.6405999124268,47745.39837599738,11906.612720487306,86502.75939772035,8567.004667947383,909.1436378158022,4920.499041287971,3718.917763377355,10.752960755771138,9.458645921800718,10.185083790735238,0.009076927861221475,23.11732133727889,0.018278540569447138,49.99999999999701,0.04216370213508598,267651.4523747589,183702.78577876056,201719.02812108,83948.6665959982,3728.618882171806,0.6863507899876609,0.7536631179517681,0.013930874834002719,0.13313218716923433,0.19918059202211852,0.9364058320412435,0.0035872886348098376,0.14204035207953725,0.0011181243233229221,0.0,0.0,0.0,11926.396805267856,5421.339222321428,258.9747728571428,4993.048202857142,5748.282498035715,510.1735471428571,5.710433641836342e6
10,0.0,2.5727920532226562,2021,17,79.06280860516387,278.23164701910594,0.0,80.51389217351262,134020.30376440522,93290.2186035415,63133.48653986359,290444.0089078104,8.375599382610304e11,6.989923748175624e9,1.5322679198813387e10,8.44549862009206e11,0.0,43914.086535063965,0.0,0.0,5561.900018995454,1350.8902231089,1158.1023805096809,25151.715661138493,23001.110008307256,2906.186774978046,79530.6167560071,3555.3219285998143,99145.4611730664,8519.835664865677,775.5865595183664,10759.813109684948,8171.398751227948,24.94911533396097,22.484497589866567,28.595365183444798,0.020594432551671017,27.40649325835557,0.021823903752844546,49.999999999720465,0.04216370204812748,294570.8184161886,217434.12359363053,242585.83925476897,77136.69482255804,8193.9493373972,0.7381387089281384,0.8235229835700429,0.027816568462054048,0.14534320039203397,0.12423226855817408,0.931766925675977,0.09530751794443348,0.6874760499017424,0.10656641037537928,0.0,0.0,0.0,10959.087098214284,4422.036659017857,727.1861389285715,6325.818363482144,6602.605726607142,359.2128958035714,4.578545211077764e6
