iteration,residential_demand_gwh,commercial_demand_gwh,industrial_demand_gwh,coal_cap_gw,combined_cycle_cap_gw,gas_turbine_cap_gw,vapor_turbine_cap_gw,cogeneration_cap_gw,diesel_cap_gw,nonrenewable_waste_cap_gw,nuclear_cap_gw,conventional_hydro_cap_gw,run_of_river_hydro_cap_gw,solar_pv_cap_gw,solar_thermal_cap_gw,wind_cap_gw,other_renewable_cap_gw,renewable_waste_cap_gw,pumped_hydro_turb_cap_gw,pumped_hydro_pump_cap_gw,batteries_cap_gw,cost_coal_eur_gwh,cost_gas_eur_gwh,cost_diesel_eur_gwh,cost_uranium_eur_gwh,eu_ets_price_eur_tco2
1,14.941165137303432,10.181698333520252,6.832339440662097,0.0,24.642385744951515,1.1438788281065797,0.516155160079816,4.217600374659724,0.7776095522425149,0.44320691461916556,7.117290000000011,14.76296760146831,1.2407148176989036,63.07723146592181,2.7217332656447533,51.83264893452373,1.8056276887009894,0.15166272087769053,6.272414022804626,3.61009828844601,2.1868806547775526,10465.944455793622,36625.64179888242,40835.194527670355,1583.9492951284785,137.02740341098828
2,14.608275597322944,10.11603057380194,6.823540081153573,0.0,24.741660462799,1.1533131965308265,0.4389118141599301,4.259820310296631,0.6935053260675539,0.4569029739222339,7.117290000000011,15.495428169012525,1.1011447002949857,65.12827419099645,1.9704810820500003,49.06506189767487,1.7098313238598415,0.16457297678684837,6.596632222555353,3.7613779786647465,1.263978143973237,12121.576136325652,45443.07141060237,42376.14889635921,1860.7273001124545,137.78933541540147
3,15.347852141894505,10.400890088804003,7.11666155706636,0.0,24.25228076928322,1.217894055487334,0.46935108246999124,4.356748389013082,0.7555489649028079,0.4296510340900891,7.117290000000011,15.615728049122366,1.1675891135532472,43.93858801384031,5.475218912995232,58.59668052381716,1.6356308952333325,0.18641273136908834,5.487198070283292,3.2437177886975066,1.1387500000000024,15274.204971698478,21614.609071517236,49544.44065117243,4024.214739571159,125.51544779096609
4,15.345118157794625,10.396445607425536,7.094555510836331,0.0,25.224562384105468,1.211661719787117,0.46862690560749615,4.224274965746888,0.8125311003695093,0.4318145966467563,7.117290000000011,14.978347998150436,1.0437517164747134,57.12888968908877,6.049637650819833,44.84940106899057,1.634696228316666,0.17211146611958494,5.998854916764925,3.4824560498239547,4.067294520541334,14323.97778325845,27770.208113942288,62897.90699394127,1883.543079674445,127.77497801826304
5,15.483898398031217,10.722387358630545,7.232544363472821,0.0,24.82663405283801,1.2130007007751031,0.49481974214262797,4.305839290057763,0.7836942558547767,0.4772126815574151,7.117290000000011,14.795152655375992,1.1785950028356826,72.86793841686821,7.047122748649319,51.28999400170279,1.634696228316666,0.18004524543588513,4.7779707583285385,2.9127934663440223,1.130499999999999,15392.78356317984,50618.26257142857,44773.78593773474,2099.029507527273,122.33450399999982
6,15.365526143231909,10.60423966978075,7.149585705558105,0.0,24.37486771003258,1.0963150281651206,0.4801164099835194,4.222576929967766,0.7741849057344409,0.4616540412863588,7.117290000000011,14.451504780635993,1.1972312655030626,48.372857659505335,2.4922244004125464,48.87511966134609,1.792032898667762,0.15143743216810995,6.115370832300351,3.5368221884963105,1.7254293993753895,14294.761312232822,20403.682930013954,57740.018255014555,1770.385156817925,149.52702930178788
7,15.637480807092114,10.653094264752575,7.236052520849005,0.0,24.336434229671877,1.0473410069822808,0.5151865259812954,4.271056797879942,0.7448676430830486,0.4259263463879974,7.117290000000011,16.254858902818214,1.1504934811651681,41.098609133362906,4.010513816564045,44.83413907027169,2.0394580772724646,0.1570831208881762,4.651323024050899,2.8536998373523295,1.130499999999999,21050.500604301404,22388.116897403197,52544.918745482515,1713.0557795081395,147.82253486213332
8,15.329412760724107,10.394662661467319,7.110516646499086,0.0,24.50172617013121,1.080123064223225,0.5262073980263411,4.241658953937765,0.7377033001568621,0.4488146058482169,7.117290000000011,15.490931558808487,1.1483629814285297,53.49771892236198,7.285363954067658,44.22019911419765,1.6810397190952369,0.17513781848456778,7.248175749999988,4.065387140000006,5.181249999999993,10875.146095625409,30823.06429086172,45822.07560506655,3895.434164801175,148.88215412671545
9,14.890111855770087,10.079164327029567,6.872818046392593,0.0,23.99052121856775,1.147195741517222,0.5056030957012511,4.195972599202042,0.7875021301141396,0.3884210876194381,7.117290000000011,16.29638514183378,1.1218026724709615,60.08970083589887,1.9704810820500003,44.146790930876485,1.9984287670615204,0.17380477346874978,4.291643458702424,2.6858739310159176,5.174500000000004,13375.581830188692,36591.51817484904,52558.363432902406,1780.4614522811878,134.9474231810784
10,14.681611583397174,9.977168084176922,6.812923608977867,0.0,24.63936949037333,1.2080488711384685,0.4974297829642707,4.287578462768082,0.7764526053884205,0.3918632168124217,7.117290000000011,15.540265915532844,1.229311344587559,32.535911249433326,1.968282282866666,37.11908187066547,1.7345253114150552,0.16021686246057715,7.248175749999988,4.065387140000006,4.720826278104342,21586.973375752495,34652.8349291411,42536.69558932311,2614.0264248534418,134.9894848737304
11,14.745206787995127,10.098188845165954,6.77724532170381,0.0,25.159813583622334,1.0974479798619488,0.48136565698178996,4.296326702842158,0.7798233738122319,0.46403383763670186,7.117290000000011,14.734638795467394,1.2389362834980484,38.429029814499486,3.9399125324017064,48.18679922503237,2.06093103818806,0.18492760322085955,4.327104824300167,2.7024201471335885,2.2387939210102865,10984.51395441771,49158.309734971976,64295.40427429548,1961.1360550632517,131.80778680792145
12,14.598553070477472,9.855455185744907,6.721044363953486,0.0,25.026368974325976,1.1381062894249339,0.49997158823574794,4.2810004480762345,0.7937110853613188,0.4485493708516862,7.117290000000011,15.182467600403134,1.1562766518705268,57.15391480892016,1.9704726657000016,62.052230284414854,1.7311282393189142,0.149940375304795,5.735427629467451,3.3595413015212334,5.174500000000004,12247.560841521115,20719.738622378645,41785.49568979608,1619.6967223403442,131.372810746103
13,14.693030874023767,9.919236969761648,6.7645411068140975,0.0,24.511595810041655,1.1738812948194302,0.48306096404822085,4.275060253167378,0.7718780137886505,0.4305930897328716,7.117290000000011,15.331302955084762,1.2453510468069606,45.099445822741274,1.9704726657000016,53.501749613445774,1.6334577854000016,0.16164300557064423,5.477066251541085,3.2389902983781758,5.174500000000004,22788.97983910877,22247.2862305454,46977.7891715522,1802.5425185347276,136.21573939210538
14,14.962055850976038,10.301548437711125,7.013485121509526,0.0,24.796244815035603,1.1654481640712722,0.4999851611734804,4.260126097439778,0.7870763489076947,0.4647055050130983,7.117290000000011,15.818059945917097,1.2336188342271397,32.969956378950044,5.740118187298504,49.724839653929685,1.9924672270459793,0.17282002445647565,3.9403775000000048,2.5219738000000023,3.7402423603747663,16210.639532963662,18216.18378571428,63344.282914089796,4119.022501881413,151.77594761968413
15,15.264271342260294,10.379914707504339,7.090072626253229,0.0,24.824163335612347,1.2581446851457632,0.47251498272585557,4.333862096058191,0.7790303693183555,0.4210456589592725,7.117290000000011,15.128082753816349,1.1404489104374862,77.35969473462498,4.990509561302046,45.18314651315728,2.0379402838565124,0.16641704945703495,4.225786636878064,2.655145243940238,2.281673450479309,10957.724655685552,37774.03861355862,56998.80642551245,2556.150602527019,125.12487899999999
16,14.303623924695268,9.890870279706297,6.637928400124652,0.0,24.92611896702876,1.1239591699295615,0.4936273497029438,4.300980586272223,0.7325679842973146,0.42048519508176596,7.117290000000011,15.855799235074741,1.1498765610259314,38.68875009053543,3.101318866084874,45.11287987078334,1.804399977564345,0.1740565772418674,3.9403775000000048,2.5219738000000023,2.867521256495728,13844.27936027072,26934.240216181533,63075.6234362214,1790.16144316022,135.5428714587459
