iteration,residential_demand_gwh,commercial_demand_gwh,industrial_demand_gwh,coal_cap_gw,combined_cycle_cap_gw,gas_turbine_cap_gw,vapor_turbine_cap_gw,cogeneration_cap_gw,diesel_cap_gw,nonrenewable_waste_cap_gw,nuclear_cap_gw,conventional_hydro_cap_gw,run_of_river_hydro_cap_gw,solar_pv_cap_gw,solar_thermal_cap_gw,wind_cap_gw,other_renewable_cap_gw,renewable_waste_cap_gw,pumped_hydro_turb_cap_gw,pumped_hydro_pump_cap_gw,batteries_cap_gw,cost_coal_eur_gwh,cost_gas_eur_gwh,cost_diesel_eur_gwh,cost_uranium_eur_gwh,eu_ets_price_eur_tco2
1,15.216468448168284,10.42445639501336,7.083943999573479,0.0,24.140650932773674,1.191162727667204,0.469116464798347,4.326106345699144,0.8160561406031756,0.4572415467328648,4.3863257388204895,15.142070771389966,1.0656812681672132,47.465300348563474,7.798984665499999,46.080720316726826,1.9515505473094343,0.17670467834274559,4.063677537002686,2.579505398830863,5.8928783474621556,10666.102680146689,35821.32636966325,45994.31434835016,2997.72931687304,135.74499237908879
2,15.476352196388087,10.484685177883707,7.158272186640282,0.0,24.31132642088443,1.176377849486253,0.5124033392680695,4.227487886487004,0.807323746651155,0.4482508369948565,3.1609466692121364,15.252948239784832,1.1937019533773274,31.294320321533355,2.024388052499055,55.974061589129775,2.047343587943161,0.16912122202834473,4.580400292855433,2.820607405116977,3.3715000000000006,13598.547487531809,36244.28894938451,42091.262899747264,1964.2019136984188,128.18096548030906
3,15.191972981955347,10.432126796146873,7.082265393390818,0.0,24.538615852040564,1.1367032437708098,0.4643343054803101,4.216971210055832,0.8211927899468192,0.4125548969477418,3.3553930485212504,15.769736994306788,1.2168439250443197,68.49724171697333,4.918274524103392,50.1222435374995,1.6634495466596475,0.1777433757481098,3.9403775000000048,2.5219738000000023,3.3662500000000017,16155.567382497866,41366.01695629432,50005.191585385495,3148.4485596569207,150.0186877481791
4,14.970040887928374,10.10347180595253,6.895602844519083,0.0,24.507825260161308,1.161250720596529,0.4578463840716285,4.0921138557698935,0.8063602267214024,0.45196115396418063,3.397584244031718,14.77318625625529,1.216941316797203,67.04823597107574,7.7535370171688855,51.26842230140726,1.6878378609642535,0.16507894687398436,7.248175749999988,4.065387140000006,15.069229156903807,13254.110725493234,17332.066100305943,38121.43914242533,2459.7338189189154,143.57247826444038
5,16.121017014047403,11.119997262480267,7.451914356666669,0.0,24.674517348333932,1.196458253203139,0.4107616343668104,4.193016662632563,0.7595827470360729,0.43242311370616093,3.880031392694889,15.990039277688455,1.091512703021735,40.45932346285675,2.810101313381566,62.03467946523412,1.6981830336469157,0.17634174986696027,3.9403775000000048,2.5219738000000023,12.248608537845264,15179.044029886441,26110.534673344424,45892.23521642254,2739.2421786007267,148.42480309088702
6,15.315645224269232,10.632776040058175,7.173185073385763,0.0,24.646571855496138,1.1054929223058416,0.484510584665625,4.310139665937414,0.7182101274891056,0.42578043791158937,2.631262113,14.353526394496402,1.1492308085918677,38.6936534916078,2.1392064678675733,43.34001009652387,1.705805792465723,0.15310961562558575,7.248175749999988,4.065387140000006,15.500258250000003,14639.849173257424,25969.83589289669,48259.04591855361,2417.9565775786427,134.7081753691994
7,15.704517078043587,10.654755082704447,7.287144902422458,0.0,24.482430223118904,1.1050822298996776,0.4953483548166622,4.192370666225469,0.8103092910886639,0.44123203492534463,2.964665890098221,14.836205973019412,1.1628240473622813,71.36913757742435,6.525986034398242,62.43236089990706,1.7510295248890424,0.17785520653229134,7.214673165830221,4.049754888144217,11.101509392813988,16047.95293135324,32647.55452605029,62966.32209345064,4325.148918451679,141.9045959847902
8,14.965330458349172,10.156427521123069,6.93167535992381,0.0,25.127504308881978,1.1636668577859552,0.5056517797565404,4.412459008113035,0.7495549666821857,0.4206742566016375,3.9240569880101615,16.466548417669873,1.075562094868437,60.18832660846571,4.017737089298607,63.53362857540003,2.064403669974511,0.14738103700552488,6.282545841546828,3.6148257787653506,15.493749999999979,17851.66912852556,18348.992770498684,43625.112627845156,3141.889160480522,144.271434225275
9,15.18299612003799,10.371768570584731,7.067692565700454,0.0,24.650836133610007,1.1556569950082711,0.49274031746168784,4.252347284808474,0.8311152555148525,0.43547880146034734,4.079980971418401,16.18603160496843,1.1872682129787602,53.134056333450786,1.9685447777000011,50.89603976876636,1.839466256240907,0.16380763347073077,6.0393821917337736,3.50136601110129,3.5221725228335816,16345.012186682956,30712.268367737848,60904.678224463845,3776.051692786354,133.92638027987593
10,14.491357017850298,9.77693428844059,6.6622009548997605,0.0,24.437503874050652,1.209362973650515,0.49544285218568357,4.256890184366293,0.7895263000694619,0.43797954820737023,4.414143258,15.152953196393575,1.207084878484461,64.84383467941362,3.6485959906209535,52.18403855113887,1.6334577854000016,0.16395781338913323,6.348402663371196,3.6455544658410304,8.322997438323451,17202.906931799636,26267.985314283684,44151.611365158315,1635.385269494723,131.1563670077341
