iteration,mip_gap,solve_time,baseline_year,day_start,avg_price,max_price,min_price,std_price,residential_demand,commercial_demand,industrial_demand,total_demand,consumer_surplus,producer_surplus,total_cost,net_welfare,coal_gen,combined_cycle_gen,gas_turbine_gen,vapor_turbine_gen,cogeneration_gen,diesel_gen,non_renewable_waste_gen,nuclear_gen,conventional_hydro_gen,run_of_river_hydro_gen,solar_pv_gen,solar_thermal_gen,wind_gen,other_renewable_gen,renewable_waste_gen,pumped_hydro_pumping,pumped_hydro_out,battery_charge,battery_out,initial_ph_stock,initial_batt_stock,mean_ph_stock,mean_batt_stock,max_ph_stock,max_batt_stock,total_generation,renewable_gen,low_carbon_gen,non_renewable_gen,storage_out,share_renewable_gen,share_low_carbon_gen,share_storage_out,share_min_non_ren,min_share_ren,max_share_ren,curt_solar_pv,curt_solar_thermal,curt_wind,load_shedding,total_ens,lole_hours,imports_FRA,imports_POR,imports_MOR,exports_FRA,exports_POR,exports_MOR,direct_emissions
1,0.0,2.3716349601745605,2023,8,83.93592925500114,162.36290221632365,0.001041576688119676,50.1817959310053,133458.14840915793,91460.37833045778,62046.81517684585,286965.3419164616,2.9227995588606573e11,9.317163047997528e9,1.4928515733472227e10,3.0159711893406323e11,0.0,55104.12551399243,0.0,0.0,5688.397235939843,1430.7096259555383,1397.2760094463945,29210.972451176036,16761.883419635793,3094.4080235714496,64683.20277396105,11438.837590213483,97863.70022022954,9562.675003077686,919.492870958302,5107.094126368593,3861.436173402047,8612.939332620252,7811.64955164095,13.570644848244163,13.048851059822102,24.165680703401904,10.983903664040861,49.999999999954,24.84655673631394,297155.69378511,204324.2129471784,233535.18539835434,92831.48083793177,11673.085732075791,0.6875998583252344,0.7859017689468765,0.03928272611366234,0.15786649085243473,0.13363192858309023,0.9326053597340431,0.007270182107640744,0.273265398559123,0.0039556841427728084,0.0,0.0,0.0,1440.1528018526785,573.1074809598214,86.96715553571427,2452.0974068526784,2857.8490553571423,629.2025868303573,5.546956433651877e6
2,0.0,2.2955260276794434,2021,4,89.83167920662099,225.47746484428552,0.001416618260434916,54.198542011730055,136047.67972746404,92317.00611550547,63175.55580504391,291540.2416480134,3.556185921679649e11,1.2350983579733244e10,1.364530067991214e10,3.679695757476982e11,0.0,53209.7561138126,0.0,0.0,5560.557274751142,1415.3999933331174,1365.1821049926605,21165.826688799876,25665.36091070009,3556.2371369735033,46004.499501459824,4032.9587730679896,122816.08357035823,10198.809613721683,883.1567064664414,2493.466661081742,1900.8332423099314,2801.510735446095,2542.300085942962,18.16144218139235,4.219888107565083,33.81311182921461,8.727969327672477,49.9999999999226,14.215492174941033,295873.9634941357,213157.24131442388,234323.0680032237,82716.72217971181,4443.133340775411,0.7204325747258552,0.7919692061983955,0.015016979825815171,0.1311220643259237,0.11917263823423553,0.9432386404848022,0.0044824930784170824,0.07267880874691035,0.004640632828895597,0.0,0.0,0.0,11524.073799821428,3286.3510936607136,543.6318820535714,5666.550679464285,8435.623809107141,360.6706346428571,5.371125618998618e6
3,0.0,2.302483081817627,2023,9,80.6807161423531,227.07132619989827,0.0,63.205915258321575,133770.13635509968,92214.73922701822,62690.53141550619,288675.40699762414,2.94758937600982e11,7.784760336204631e9,1.5114402743607853e10,3.0254369793718665e11,0.0,49870.254125112995,17.846311673934217,0.0,5586.31455257238,1439.7151993479986,1201.7721134693345,22374.393261784084,16740.39019642833,3263.896845603723,90132.93674144371,4461.191805728094,95768.82037021633,7902.461746937282,900.2373902668063,7855.948104203893,5974.467055210315,8092.391856209168,7313.127418157314,27.3601179974047,6.41112876354138,24.116258803307243,6.696958254659654,49.9999999999968,14.193356231386824,299660.243355557,219169.94779152,241544.341053304,80490.29556403705,13287.59447371496,0.7313948134636848,0.806060685089625,0.04434220010276366,0.1338658701734206,0.1356370439693745,0.9377396879949464,0.05753927589631491,0.5695382390449885,0.09176137310155708,0.0,0.0,0.0,1476.020601875,482.3672929241071,85.09852131696428,2436.7878009151777,2952.0800333035713,648.5714029910713,5.096151733092841e6
4,0.0,2.755753993988037,2022,1,61.86383262948444,124.34805998458154,0.0033316272191004827,34.111211475029535,133823.371016861,92070.50402076458,64384.6778070286,290278.55284465424,6.416034127580809e11,4.747749900308388e9,1.2969795939669907e10,6.463511626583893e11,0.0,48731.224655689686,0.0,0.0,5380.720508973977,1413.7107494909321,1173.2743349751372,22521.796986549543,14454.473071428567,3519.2446384351365,99210.40229193564,8763.41828888349,93025.72326976512,8368.196580593016,882.2079931322419,7815.333598843769,5891.725127997586,23199.848577857254,20967.485785468885,17.227519271321253,17.412330885564344,25.50400336903446,32.70707068154153,49.999999999999126,63.53744895844583,307444.397030809,228223.66979510878,250745.46678165832,79220.72723570015,26859.21091349511,0.7423250252703043,0.8155798876260903,0.08736282453963065,0.13029350491791164,0.15299145174715456,0.9470570618703071,0.017881629085439554,0.4228876211172594,0.02548737447073357,0.0,0.0,0.0,3171.5301796651784,1083.89299578125,529.5572668080357,6258.791886756097,6641.16946296875,540.7120597840811,4.969600948159075e6
5,0.0,2.092301845550537,2022,18,87.42381856335064,159.6953525092774,0.0016743220469288644,37.596795830403025,142700.27764868492,99423.62109244714,67530.41275603358,309654.3114971657,5.4196412863883514e11,1.2699946215148312e10,1.4761882045500654e10,5.546640748539835e11,0.0,59220.485512600666,0.0,0.0,5513.39761046793,1331.700472201857,1347.9426689401964,25728.787656819914,15662.39605793618,3201.7144003329795,54139.819635453394,4201.379162167961,144681.174634969,8452.547026512577,923.0097489989744,2065.492217626593,1607.1627939806585,11268.673282856942,10219.70872058934,27.598010970577814,22.643137807189184,24.70956189432459,27.757316659307577,49.999999999975685,51.64466819648149,324404.4032387466,231262.08931711598,256990.87697393596,93142.31392163053,11826.871518324022,0.7128820910205642,0.7921929369892139,0.036457185538323264,0.13374888336661026,0.15991383517973778,0.9422555328748059,0.010530301144014875,0.03722973208115865,0.006933382460275861,0.0,0.0,0.0,3368.584728772322,893.2530410937501,197.59382551339286,5891.631038622932,6361.092085104311,804.700925215484,5.846758955427585e6
6,0.0,2.248512029647827,2022,13,96.70628142387552,132.70911119236936,0.019165458867850246,16.57550376521111,135254.4286511535,94510.78496526417,64318.370648238815,294083.58426466316,5.584974356825243e11,1.1076969949456484e10,1.7669672535823654e10,5.695744056319807e11,0.0,104255.403010279,0.0,0.0,5667.402648147548,1259.165995645434,1492.2667089017668,17482.142526772106,15504.21461607008,3482.9799681137533,53634.36760890849,3533.8020794074964,92563.05609662966,8971.485252073655,872.3699909334322,643.3757033605071,518.3113085081546,5272.265601036181,4852.287219725457,23.022396848746144,24.321565147170745,23.331371997008905,29.50222421450992,49.99999999982917,65.35482718768752,308719.7358171986,178563.35492655428,196045.49745332645,130156.38089064414,5370.599088265133,0.5783995456393062,0.6350274203700743,0.017396358137094326,0.11405588800497253,0.1715357781687659,0.9367248972662083,1.9139491945763254e-6,0.0,0.0,0.0,0.0,0.0,2941.789527633928,793.3027336976269,267.5184341663767,5957.878442172909,7044.604723511761,679.9880918599742,9.586627314648706e6
7,0.0,2.3249518871307373,2024,3,53.885733250582085,140.84819348907354,0.0,53.39611083729029,138912.18480796274,94962.16615944497,65536.328726587,299410.6796939947,2.2404364524270908e11,3.030526733943158e9,1.2981854120986664e10,2.2707417197665222e11,0.0,33266.73112306882,0.0,0.0,5512.548189096549,1420.6342491465539,863.7753790753363,18847.876754630273,23377.38708034144,3223.261833817645,87777.6917228855,5583.574356548283,123016.92242925835,7416.8050394791635,717.8112430091272,9467.612421705995,7161.148277419327,21015.55469941166,18997.59497008934,26.050014473821147,20.638823330758186,25.160144901311533,22.435854548711077,49.99999999999652,46.80807352939041,311025.0194009904,251113.4537058785,269961.33046050876,59911.565695111945,26158.743249134084,0.8073738060992751,0.8679730363185347,0.08410494853280213,0.11739154756713319,0.1747801539868022,0.9514154470977455,0.021844591519892376,0.500952332143521,0.017981788897151407,0.0,0.0,0.0,2257.644818303572,606.5844805803571,54.61396276785714,1473.8304498214288,3403.20325421875,840.5680874999999,3.6890454757943754e6
8,0.0,2.219478130340576,2023,2,52.14666189409735,116.7690449481816,0.0,41.97886452098843,133155.46095321994,91667.16089235108,63744.125234215346,288566.7470797864,3.1606191484428906e11,2.495306006725416e9,1.2785222563833647e10,3.1855722085101447e11,0.0,39884.26790109717,0.0,0.0,5801.942350523786,1314.1197676914,873.1599898146582,25944.115435994012,17643.774386401834,2846.3398033456237,77182.80006959656,4309.891564263063,114991.45669803511,8776.143132913188,586.9938188713514,4462.713110305595,3305.506071197842,30104.31672507707,27129.760206251238,20.225459261023982,25.678309721700092,21.331560457352015,28.838706785850466,49.999999999972104,65.32738599628644,300155.02831669315,226337.4228707734,252281.5383067674,73817.60544591982,30435.312620208802,0.7540684030519225,0.8405041212256006,0.1013986431974631,0.14683599651520757,0.1519035781624981,0.942769668044321,0.03651696513143432,0.45948410071527535,0.052241787361480885,0.0,0.0,0.0,1506.5600022767858,791.8547819642857,97.41297941964285,2207.0267992410713,2751.114091517857,565.8006112276786,4.24994997704841e6
9,0.0,2.1533281803131104,2024,8,71.90565984239306,158.67597012712736,0.0,48.52614332355424,131668.07517205508,88614.1402582898,59014.75594838221,279296.9713787271,2.1216961644043362e11,6.489528901292503e9,1.4016263067980986e10,2.186591453417261e11,0.0,51948.69835624835,0.0,0.0,5764.444300980974,1457.1112661610184,1219.6212805931282,25096.911230945538,24143.67723211854,3536.18566365726,64740.83466099625,2462.5470803121843,98427.9787104807,8822.894741708058,825.9646752868935,8407.128761586815,6391.0363013651395,5976.101737512103,5403.994451330347,25.781873890222208,5.28623602133164,24.695979932214723,6.475556248576469,49.9999999999479,14.850783312239997,288446.9174871015,202960.1310506227,228057.04228156825,85486.78643647885,11795.030758291146,0.7036307852369352,0.7906378208800455,0.04089151259111162,0.14890051796442136,0.16622419203961963,0.9404428693438154,0.0017183393983892792,0.3223180639105838,0.0030767726917332316,0.0,0.0,0.0,1929.6827487349742,775.6143139358669,83.55540529017857,1402.5948074553569,3059.845994984974,698.7155572840812,5.289861938281048e6
10,0.0,2.2774648666381836,2020,2,32.67019917083487,118.02397221310687,0.0,40.164013504099536,127558.91284619994,86530.73216473396,59134.348268755864,273223.99327968975,1.061269562121175e11,-1.4606589422916384e9,1.0019388218820826e10,1.0466629726982585e11,0.0,14128.59198204185,0.0,0.0,5597.384903470357,1384.1975092908403,532.2938824480691,28995.57273620562,22626.2753891592,3099.789771208015,89055.72322722441,2127.8569875711373,106965.77802701575,6620.620592479593,590.8900879790875,9971.092550910413,7503.183294488059,20085.53446084206,18127.951611487184,17.293853526589757,10.241461496425016,23.803915196596183,15.599300044620371,49.999999999994294,35.09283848646231,281725.042859226,231087.0018456713,260082.57458187686,50638.04101355469,25631.134907767097,0.8202572249182057,0.9231787559327356,0.09097925639707724,0.16572226814865157,0.33838491692039807,0.9434060589236738,0.08280123684526675,0.7227384581934089,0.10395579123667642,0.0,0.0,0.0,9145.93683294643,4354.876010892857,291.2611335714285,6425.560876964284,6655.788170267857,687.8942397321429,2.089704110653472e6
