hour,baseline,nuclear,optimistic,climate change,no batteries
1,84.09901098835506,70.03695828346895,81.8926922858541,89.15429693238754,86.09353305034745
2,83.84062995107224,69.76817545520093,81.63176356020173,88.89291894320851,85.77919453910395
3,83.83673336345856,69.75315650518912,81.63293929889353,88.89828237771046,85.8508900892094
4,84.160828455373,70.33146700546236,81.95409304813498,89.20065226909323,87.02284249332072
5,85.03110677147649,71.87112828895539,82.80626025318463,90.06084852151704,89.46606656203822
6,84.58813672710795,71.17107014291258,82.71493665731359,89.68498779808819,89.0288360347149
7,74.78045683087244,61.25837864941128,74.35750105928956,80.15491414679266,76.25591629722524
8,63.57389439897237,49.587570934328404,64.70297324466951,68.56924258627932,60.44466679983828
9,58.96196295430851,44.613087357484034,60.666272925432864,63.71752993267836,53.16101171236721
10,57.70980558226613,43.23081712978024,59.53300798064595,62.39567139908222,51.017275267428886
11,57.16980738050412,42.68715639480031,59.037192789754926,61.81286559634013,50.025936521446994
12,56.91682979091395,42.44688284456755,58.805359375316065,61.510085933113736,49.59763816726352
13,56.687136348872144,42.29420169080893,58.55701781979401,61.23438703341663,49.32150555546945
14,56.90766230623844,42.53323518797777,58.74867145677479,61.48161616193827,49.631639297385284
15,58.26572719900771,44.0254215128691,60.07565822331699,62.937394768104014,51.66507326382449
16,65.75462360359957,52.618332389222026,66.66866126836838,70.77658237038126,62.624032373583226
17,76.98419127744322,64.30058170613475,76.4256156742385,82.55084873637061,78.82533207800952
18,88.15506244921812,76.01569774090876,86.01011263060789,93.49004860561756,94.69515017785254
19,89.29856339181971,78.57910225527965,86.82103053039715,94.46853862639072,97.63439201335083
20,88.54558816399248,77.04784061129456,86.2315390706595,93.6075588110673,95.57542802158355
21,87.86861502974932,75.27493278686343,85.71032793326154,92.86725824012397,92.49042362649968
22,87.23365746225959,74.08387139360774,85.09871595954459,92.22219159975752,90.41382324153439
23,85.46513428015665,72.06711086863307,83.11316357739628,90.48087182547025,88.61683137395502
24,,,,,
