month,baseline,nuclear,optimistic,climate change,no batteries
Jan,79.99503332610044,61.359631687428625,79.54642714500793,81.29027318843016,79.56103716897745
Feb,72.51722421144103,56.72517728903169,71.41483036831,74.10418005475202,72.32080596268504
Mar,56.472985769697175,37.243553242287476,55.13514430408696,59.468662868867725,56.82832551485454
Apr,38.110664507124014,20.245236116126552,35.99056234776076,44.016665796398456,41.39798564989981
May,37.189339640402935,22.73911258060052,36.26429024714039,46.06628665897005,40.96492175657648
Jun,64.61935869228533,48.660504329830005,64.16391559223736,73.94393533355363,65.96396713901508
Jul,71.37506598844037,53.534764261480035,71.84798874538004,82.51467066109123,71.30211892684699
Aug,85.01443373069941,65.6765734894681,84.95874025194493,94.16866576047808,83.49600219773478
Sep,90.6591083679797,76.88760408682273,91.24665568211825,95.33672999303512,88.90145768330801
Oct,93.69239932859634,90.53556588239023,93.37684371806212,97.24150977516649,92.1833443180124
Nov,98.17619799769138,95.57652729389464,98.2679309988243,98.57767938464328,96.47513421840597
Dec,112.39659891028093,108.939095207244,110.60051348788829,113.18335041874901,111.66716673321673
