hour,baseline,nuclear,optimistic,climate change,no batteries
1,67.57217085608964,63.663283834752264,68.27964317127118,63.817224820083254,66.79648401897357
2,67.22231443285814,63.17236537964255,67.94476614404425,63.500575927012235,66.44179137173793
3,66.47570203141339,62.55017886168722,67.23933554024929,62.68126003918901,65.64893713451991
4,64.84927254484157,61.40369277281595,65.75524395455645,60.88572134395401,63.67625275410187
5,63.32142674910924,60.352716734838076,64.40979408242569,59.41141559319768,61.66175247128697
6,65.8493854339839,62.91145756018275,66.84411012018774,62.512576042659575,64.47049300682612
7,72.17306633901484,68.71735642648706,72.88682767518816,69.74487703915729,71.37319167257218
8,78.70561133166312,74.50265689397017,79.17553936241222,77.11540137076261,78.26953452127016
9,82.95273098067256,78.13367726229926,83.29906320654351,81.86508003073095,82.61726441400633
10,84.95157142723959,79.79557121469418,85.24646087576185,84.1036958239083,84.63443647441497
11,85.77301508178546,80.47155867427341,86.04369800720181,85.03312438801075,85.45789620642455
12,86.06484275998082,80.6700731819961,86.32724202586203,85.40395960477707,85.7473871807301
13,86.01877599738613,80.51868868099574,86.28170428625819,85.41524910825305,85.69329356875643
14,85.42132197686962,79.93492443985511,85.69253559214654,84.76334708741325,85.0995957149071
15,83.26882278990976,78.10820810132445,83.59274292097967,82.34277612052094,82.91764700548005
16,77.9568968580407,73.57129795263151,78.45490708506527,76.49747409254195,77.45751409249397
17,70.77667694975266,67.50187457196466,71.59022277352749,68.51990246484337,69.84359803310906
18,64.32690580353075,62.172961805582595,65.54768077644803,61.20181705888555,62.64526135850572
19,60.871608639514776,59.38955429387377,62.38820389261682,57.148403792348766,58.52766848027551
20,61.45217625889683,60.084991710236515,62.876032639943105,57.48851025385978,59.446234253742006
21,63.37207835554823,61.61053811239835,64.58627291510093,59.404616064088636,61.95010086069974
22,65.22567602908822,62.85278490028914,66.23230732506254,61.285263628539575,64.12947316155433
23,66.59911653539145,63.64763819842949,67.45083618572667,62.659164555547086,65.72659831325252
24,,,,,
