iteration,mip_gap,solve_time,baseline_year,day_start,avg_price,max_price,min_price,std_price,residential_demand,commercial_demand,industrial_demand,total_demand,consumer_surplus,producer_surplus,total_cost,net_welfare,coal_gen,combined_cycle_gen,gas_turbine_gen,vapor_turbine_gen,cogeneration_gen,diesel_gen,non_renewable_waste_gen,nuclear_gen,conventional_hydro_gen,run_of_river_hydro_gen,solar_pv_gen,solar_thermal_gen,wind_gen,other_renewable_gen,renewable_waste_gen,pumped_hydro_pumping,pumped_hydro_out,battery_charge,battery_out,initial_ph_stock,initial_batt_stock,mean_ph_stock,mean_batt_stock,max_ph_stock,max_batt_stock,total_generation,renewable_gen,low_carbon_gen,non_renewable_gen,storage_out,share_renewable_gen,share_low_carbon_gen,share_storage_out,share_min_non_ren,min_share_ren,max_share_ren,curt_solar_pv,curt_solar_thermal,curt_wind,load_shedding,total_ens,lole_hours,imports_FRA,imports_POR,imports_MOR,exports_FRA,exports_POR,exports_MOR,direct_emissions
1,0,1.8499610424041748,2022,12,76.54831571566548,153.3660291826818,0.00236757132107595,54.77192940557231,130656.11835741656,91161.61703626708,62265.19277989776,284082.9281735814,1094210179345.6056,8757298961.264463,13256344222.927153,1102967478306.87,0,37058.84451070261,0,0,5608.436427908888,1370.8936893918856,1207.6630471619649,24303.264603753592,15297.022205356978,8728.662809924124,88028.618109856,3800.518505859863,107850.09146051884,8975.466069343744,847.4895467657899,12450.719011596251,9346.26006890107,14298.880867819666,12947.577091730544,18.32100225124024,17.13254573478171,23.65378937144405,14.53780639193995,49.9999999999975,31.824234222781627,303076.99086646084,233527.8885874666,257831.15319122025,69549.10227899424,22293.83716278184,0.7705233179194444,0.8507117364934627,0.07355832951569972,0.1387365436065892,0.2343938480658531,0.9462896499722164,0.03688857927444855,0.5115035003678405,0.04525868621136642,0,0,0,2735.883503504464,752.0161564208411,270.38663588512674,6108.857562552373,7215.534222842114,710.9568784224741,4022619.873448071
2,0,1.8846330642700195,2022,17,87.58469351681222,241.94241858156303,0.00150914155720965,67.72069271892161,136687.6642978871,95275.00156651063,64234.43224481709,296197.09810921544,1022653541776.1598,11000904190.40712,14331604336.63798,1033654445966.567,0,40553.8477165863,0,0,5686.960712076174,1280.1996381111578,1316.9184865840314,23308.081915074166,15217.8386142832,9515.320098912634,97459.5560051121,3037.964898159962,108967.26175092696,7674.963135811868,752.5539314194793,16341.0250405359,12333.28169516862,7146.700271518969,6455.933223133577,25.439803376765173,5.043367478614606,24.65506032076508,6.0906715100948645,49.999999999998984,12.465024638920516,314771.4990489045,242625.49058042112,265933.5724954953,72146.0084684834,18789.214919299706,0.7707987899588253,0.8448464149359931,0.05969160160965055,0.13058011985232174,0.20710074261218153,0.944131222232542,0.06166626127731767,0.6565316454982453,0.06992653134566484,0,0,0,3182.5935912946425,710.5262059151786,200.33378752232144,6034.601331674107,6709.166729263391,782.6174681473215,4309504.925654374
3,0,2.2379839420318604,2022,9,79.72432337773188,130.14473495096058,0.00236919577484877,41.69017028108712,134716.7256900774,93374.73425210854,63916.752251777536,292008.21219396347,1218818849564.341,9480921052.936712,14054190633.222313,1228299770617.2778,0,54612.247634536565,0,0,5579.789181698962,1337.731139399482,1170.7797662498338,23268.981611976855,14836.79850892838,10468.13096169556,60736.178281792105,6672.910259246109,121556.45862201149,8434.58742715098,849.2202723367529,8369.930059214039,6376.5154218462285,4277.789282107789,3876.3650857723305,28.909466436376743,5.681690204433773,24.982265428000076,5.19328590170874,49.999999999996454,11.735406187265117,309523.8370491489,223554.3077151885,246823.2893271653,85969.52933396031,10252.910093148474,0.7222523145436796,0.7974290176816738,0.03312478350906598,0.13251077248811738,0.1877435083410726,0.9378172064999258,0.02463835623963417,0.16453880988081893,0.01796122272492117,0,0,0,2279.220385825893,766.809922827091,280.4365765994125,6665.506769806837,6711.169060200892,690.4906563169643,5464478.78756587
4,0,2.159398078918457,2021,10,85.32522207090982,309.74118824055324,0,93.08972361576689,135984.897264143,94043.49741533516,64339.917416995115,294368.3120964732,777817892427.3068,9693286828.340828,15173188849.843224,787511179255.6477,0,34819.39761031545,0,0,5413.366678187615,1249.299007415971,932.786977985504,25711.92486607767,25485.53551722541,9616.33276484571,83367.59054048147,4752.449009458327,104735.20019512094,6568.804583423336,564.1443253098275,7352.596084918499,5579.603045463894,19068.23882846811,17270.82228159154,23.278914505994848,23.953908794791033,24.120795716591328,20.55488272661534,49.99999999999955,42.62256734185096,303216.84007036325,235090.0649303513,260801.98979642903,68126.77514001181,22850.425327901405,0.7753199488385846,0.8601171021237092,0.07536001405000735,0.14219434434365888,0.16077580319677293,0.947371419518801,0.03960320508936488,0.5898762302020446,0.04309824063315892,0,0,0,10640.380601339286,3304.661424017857,546.2442891964286,6284.720737857142,8367.130389821428,702.0176745535713,3777757.47092955
5,0,2.1503548622131348,2022,18,97.18070087152512,172.28806519727223,0,30.042262667431693,142525.6380660854,98535.94401585186,66206.86652533093,307268.44860726816,1069034672886.0836,14389254216.000132,15806215573.318245,1083423927102.084,0,75849.80594798164,0,0,5668.762654368829,1348.7477222190048,1397.994366022591,19415.647419883735,15662.637455357182,10076.043183079026,65203.95992222344,2991.4608538205835,112526.25083571284,10944.55080965074,961.3462727837252,4342.421334687888,3263.0527666958023,5264.156686070899,4770.9249183029615,11.656219080466364,6.633706715280086,21.714080944243808,12.24323020102099,49.999999999999794,23.409301413717877,322048.0587674868,218367.10065700175,237782.74807688547,103680.95811048515,8033.9776850215185,0.6780574970478523,0.7383455406839157,0.0249465179693007,0.11555307778329224,0.18562109950808972,0.945025490735144,7.1453441560953e-4,0.02216611741424845,4.1871447830643e-4,0,0,0,3368.584728772322,893.2530410937501,197.5938255133929,5891.631038622932,6361.092085104311,804.700925215484,7246914.160107641
6,0,2.125993013381958,2022,5,96.32976906951708,180.04992634585034,0,34.897249560675306,137595.78231188311,94165.36349420653,64807.37749769401,296568.52330378373,1317393447817.2307,13128871362.694256,15477318590.380655,1330522319179.9248,0,70723.7210431096,0,0,5646.995098042253,1375.0216575169518,1494.3397485317628,18995.01504286504,14097.171607142738,10129.41548191166,71335.50584372539,3421.345289680708,105318.9226114311,9441.907862089996,925.5012080646784,7086.898794622719,5358.08831779159,2923.7441794517763,2646.1419006760507,15.911735621499751,3.008967813717704,26.754231678168807,4.330625153657034,49.99999999999845,9.493176509490027,312905.537607205,214670.44501709,233665.46005995505,98235.09259011502,8004.230218774333,0.6860551163737122,0.746760386047494,0.02558034057173562,0.11809371814458625,0.13664912232588436,0.9379675702893094,0.0077911803991949,0.14596023999803442,0.00596864334160296,0,0,0,2859.6581625223203,739.1206826785715,361.1465032142856,6230.133665171276,7010.853684933036,601.0236073064026,6830110.275956878
7,0,2.0791640281677246,2021,19,66.2606710486631,311.8850163299625,0,91.19131016823268,132651.23304054342,91727.76959185924,62331.01006812255,286710.0127005252,824868469558.1598,4345223650.437806,14133393784.807028,829213693208.5975,0,29414.276950936524,0,0,5504.087859348144,1494.0070100573923,693.896090395953,24154.297906387823,22896.16578913664,9133.167929667456,97934.53715237082,1144.2136761012732,93542.04759817488,6136.775718555956,506.4269407742304,10505.112142042532,7902.756691190952,23768.82669068645,21452.270825822965,16.352819957613747,12.679680049465547,26.709750253478592,20.0498627301922,49.99999999999897,40.28778814790662,292553.92109886865,231293.35528169133,255447.6531880792,61260.56581717722,29355.027518152412,0.7906007699808806,0.8731643460070071,0.10034057109161724,0.1435551401667529,0.15247909178481855,0.9429732361345364,0.1032234463273458,0.8201917322500509,0.14831017631948473,0,0,0,11206.990143482144,4242.036893392858,685.5858597321428,6115.393403303571,6307.812277678571,335.75919321428563,3373988.4096055734
8,0,2.3202550411224365,2020,2,33.01174607865931,155.79663780089678,0,46.95887232696377,135789.231122772,91886.97248544672,62714.702893510126,290390.90650172887,225911838205.3758,-1414245076.783432,10817147620.06734,224497593128.5924,0,16998.397849179823,0,0,5390.280097320982,1405.6712506009123,502.16379724350446,24294.17632685917,22627.141638956065,8712.852916422722,96384.3498887018,3266.3512912681417,113330.92231595314,6555.557656472821,479.6375464816814,14844.56745664505,11180.914294518088,16079.44922374325,14519.530805010749,22.378625400736237,10.0794178183685,23.26712223159383,11.763531721835964,49.99999999999381,25.93862435178888,299947.5392581511,251356.84993671055,275651.02626356983,48590.68932144051,25700.445103976424,0.8380027072680175,0.9189974585066678,0.08568313368244448,0.13937818019112677,0.35991311749971483,0.952268946891664,0.10097255437336428,0.7667922364620641,0.11840862029320832,0,0,0,9145.93683294643,4354.876010892857,291.2611335714285,6425.560876964284,6655.788170267857,687.8942397321429,2306420.041280584
9,0,2.238856792449951,2024,13,59.8509995874362,120.5790352150388,0,45.88883117130339,134609.33482288985,92885.7946475382,62836.555927027825,290331.68539745593,441656829164.9862,5029510811.230797,12583737163.13754,446686339976.217,0,36059.62374696343,0,0,5587.97684351828,1293.502482505366,965.5327529624024,16909.080131738538,23222.921116070826,10118.033084874369,78336.58061402391,5314.962630630476,113435.62308769874,9010.830230607811,715.3216570378419,11333.59357443708,8553.169706084778,15719.342589545804,14206.65045182424,24.06777814200832,17.50966488230097,23.60646179082258,19.5490374257141,49.99999999999777,41.649742677706094,300970.0158882979,240154.29993054527,257063.38006228383,60815.71595775264,22759.82015844915,0.7979343032618779,0.8541162457780859,0.07562155350018736,0.11544055283536316,0.26567366399484277,0.9506888566145985,0.00999817531775792,0.4976341354832228,0.00904094555828594,0,0,0,2289.8486390401786,831.1912213689027,86.64935542410716,1490.509091026786,2980.241058325893,727.2581562276786,3910183.963785514
10,0,2.0228500366210938,2020,15,67.45318466435586,178.43451666428544,0.00465136886219261,56.46559476060325,129502.49379372988,88360.11564043128,58687.61922870951,276550.2286628706,221645856053.57343,7303251682.689104,11406538179.87465,228949107736.2625,0,24023.1270177928,0,0,5450.008650327899,1364.4182022419086,956.7839376915196,25514.71007257429,23654.237883918424,10585.391496175076,47202.58317826122,7377.38232368885,121336.3862444936,9357.936479336073,666.4232589665055,7810.954511276285,5909.673498507486,4494.356282357426,4058.965251007494,16.633516531116854,2.8330503868402523,26.90837222096878,4.8282742612338305,49.99999999998913,9.491049350708709,277489.4262857597,220180.37840476405,245695.08847733837,57309.047880995655,9968.63875340018,0.7934730391421165,0.8854214438582629,0.03592439137891487,0.15555399762735528,0.2078160468205365,0.9384865738373392,0.02913432549112138,0.22828593831542887,0.01346562928865247,0,0,0,11750.714468571428,5164.045164732143,243.8248116071429,5254.79804955357,5792.481444017856,565.5841897321428,2911014.1232823855
