iteration,residential_demand_gwh,commercial_demand_gwh,industrial_demand_gwh,coal_cap_gw,combined_cycle_cap_gw,gas_turbine_cap_gw,vapor_turbine_cap_gw,cogeneration_cap_gw,diesel_cap_gw,nonrenewable_waste_cap_gw,nuclear_cap_gw,conventional_hydro_cap_gw,run_of_river_hydro_cap_gw,solar_pv_cap_gw,solar_thermal_cap_gw,wind_cap_gw,other_renewable_cap_gw,renewable_waste_cap_gw,pumped_hydro_turb_cap_gw,pumped_hydro_pump_cap_gw,batteries_cap_gw,cost_coal_eur_gwh,cost_gas_eur_gwh,cost_diesel_eur_gwh,cost_uranium_eur_gwh,eu_ets_price_eur_tco2
1,15.47787457595564,10.587262305532525,6.927599139336827,0,24.91324015201356,1.084380147113323,0.4809400036800402,4.223275207733489,0.7491274458298709,0.4180388972521902,3.4067562430557294,13.625462739816962,3.2624098572795788,46.2764189425548,7.188234220156446,43.253959019457355,1.980530981096646,0.1746199135019713,3.9335778999999937,2566.4631400000053,10.337499999999984,17276.470613770696,22739.525464191876,53520.967328822415,3775.7778825108553,128.95013726392924
2,15.08863567627778,10.452227271300403,6.846592491699553,0,24.125761336552326,1.13213935468761,0.4972618099911302,4.28126758959893,0.7698837458790754,0.43256128380120634,2.825251504933192,13.702329847849024,3.67915698939803,71.36913757742435,7.8000247567500045,50.10547969125171,1.9572010458320417,0.17306245813596577,4.035011913252788,2615.0211338555664,9.889640092995888,15255.038588245374,21644.795859176156,41079.71260346607,4090.121601996648,133.89933548087626
3,15.21204050323536,10.308785366119263,6.8367599037824345,0,25.003192633886385,1.1164841620581345,0.4708873558503937,4.173604647821178,0.8298591450344199,0.46986303174748095,2.631262113,13.604636188292718,3.767243992787686,30.95532289758337,5.078612766298535,41.43737277632509,1.854568932820602,0.15840677802751485,4.338662164432872,2760.383094387471,2.8063633225728215,22801.68330499643,18842.067131836844,51536.29870053395,1758.4261097931844,138.8130642525313
4,16.361726931601183,11.123491189673654,7.390540360068703,0,24.937456803990912,1.0700242954941603,0.4990536363744424,4.117472563720004,0.7982217458389225,0.477507283846755,3.993764180592672,13.78971096745854,3.4775618662448173,49.07756113197398,7.800195062616677,54.92014638195874,1.669612471134938,0.17452201748643772,5.107909467422414,3128.633394401609,4.9982567857330595,17099.214731438307,16531.2081547619,42813.447307414615,1992.1686269008956,129.56132285126603
5,16.216977159565335,11.205003096155243,7.380698662923894,0,25.26751515498808,1.0193199387705074,0.4668822500956768,4.25761054666506,0.8193335021335367,0.4246481492632464,2.631262113,13.661783274221955,3.3137545126807018,31.80539107862499,3.772305762868743,47.87471080411398,1.7635209663795317,0.17490477316743036,3.9335778999999937,2566.4631400000053,9.785818316306637,14457.717388185703,16428.85453736871,40863.33625086214,2757.6260878373296,125.124879
6,15.53023275486265,10.686873622410426,7.0905835955081065,0,24.884118633691504,1.2067323953922031,0.4590169119905779,4.1771084903608475,0.7330839817462974,0.41087855337598134,3.8488465960132303,13.63807063508178,3.465223303955611,32.969956378950044,7.8000247567500045,36.45307197145,1.9360413371036844,0.1771446439882987,4.541095665219586,2857.291068075398,2.2524999999999995,11812.230823018976,28361.165323517824,41401.93399195496,4304.776343848951,150.6941556596959
7,16.158293330234205,11.07633172927078,7.314829531413113,0,24.59240313217713,1.1694029575860498,0.4890600870690126,4.242909466369293,0.7373359041283097,0.42034663694237834,4.12217216692887,13.63501182238716,3.2944880971992627,77.35969473462498,5.6349217155457465,48.89867548002145,1.7499088970602381,0.17794039403350553,3.9335778999999937,2566.4631400000053,7.4900984668479325,12759.148008510208,54058.10649999998,43010.96215010303,2747.902075995178,130.47933362101125
8,16.39570770306022,11.16192192131999,7.422347928513291,0,24.31128414770781,1.1787065527021954,0.4473737453391805,4.069916234892651,0.77549425691007845,0.4321729161407023,3.0490482811191564,13.663125761357254,3.3728794640441135,34.483360702150286,1.9685447777000011,40.91155878978415,1.9902970005097351,0.1731360626962418,7.112001125210943,4088.022333912145,5.102083318198536,10888.954606809735,21032.15185577709,41143.99865677421,4118.058358406584,150.34257327269972
9,15.328528562340216,10.442006906988794,6.9171207930732965,0,24.795210442012376,1.1518170716805352,0.5042529765591302,4.181134677919817,0.7743547868538841,0.41893706349406024,3.027035483461523,13.615657271650877,3.613405744456456,46.639168362227906,2.086241085326997,47.75768626972461,1.9366664881209603,0.17896254397370506,7.15754866288796,4109.826627991928,2.2515045,16136.556921955324,40943.11784070538,37820.38782966767,2578.5225243817667,141.8917847491346
10,15.885348312781488,10.981094500653326,7.275222767597312,0,24.863270355306476,1.1858755125436111,0.473165845521792,4.259207285796334,0.7119586347052853,0.4482800242731673,3.371902646764473,13.522366880155037,3.4160504610632985,45.13347937740546,1.9685447777000011,36.45307197145,1.7499444116209246,0.1684777770588846,7.25525110000001,4156.598259999998,10.337499999999984,13010.612670391663,19381.08611065416,52029.564191204525,4159.5182535368685,134.00751467687513
11,15.057398259132606,10.48859701843622,6.849923473217045,0,24.73386326021745,1.125114642680663,0.47907497162186286,4.253615529933115,0.7951253200037713,0.4086361096248958,3.940566586253373,13.677138695768097,3.320423617335479,31.80539107862499,2.748308367084224,58.55319956714881,1.6785816538271334,0.1570483286179797,6.383240522378739,3739.1536286355936,3.07170297768869,13546.84405844228,25112.09847040647,45657.57185485295,2507.5960889975822,125.124879
12,15.68740590936332,10.63092754955672,7.050403770137492,0,24.64962684702937,1.1729156510135057,0.4352112604797361,4.363095681278144,0.7868805470808459,0.4641900081943053,4.399166537454114,13.759546911122774,3.328624589526462,48.06110415124207,1.9704726657000016,52.68184050801044,1.9448383386412145,0.16693231493920155,7.25525110000001,4156.598259999998,2.2510000000000048,14957.366658520375,29681.93257902012,47467.77034685326,1628.0884208005411,141.59977738402964
13,15.144223890115583,10.326296036345562,6.859772943770001,0,24.480024109983717,1.1252743914325825,0.4841218932609831,4.276436801851982,0.7896093898908978,0.42417794391962854,3.8029866008931585,13.618747016979118,3.2162793900496283,35.677027038368344,2.993596477167674,52.46515554954165,2.0866487566536804,0.16930207081072568,5.968251845765963,3540.4922825753265,8.297633261858447,10793.479152168418,37364.42363364629,61742.397071938954,2865.5461367960947,125.6017656666667
