iteration,mip_gap,solve_time,baseline_year,day_start,avg_price,max_price,min_price,std_price,residential_demand,commercial_demand,industrial_demand,total_demand,consumer_surplus,producer_surplus,total_cost,net_welfare,coal_gen,combined_cycle_gen,gas_turbine_gen,vapor_turbine_gen,cogeneration_gen,diesel_gen,non_renewable_waste_gen,nuclear_gen,conventional_hydro_gen,run_of_river_hydro_gen,solar_pv_gen,solar_thermal_gen,wind_gen,other_renewable_gen,renewable_waste_gen,pumped_hydro_pumping,pumped_hydro_out,battery_charge,battery_out,initial_ph_stock,initial_batt_stock,mean_ph_stock,mean_batt_stock,max_ph_stock,max_batt_stock,total_generation,renewable_gen,low_carbon_gen,non_renewable_gen,storage_out,share_renewable_gen,share_low_carbon_gen,share_storage_out,share_min_non_ren,min_share_ren,max_share_ren,curt_solar_pv,curt_solar_thermal,curt_wind,load_shedding,total_ens,lole_hours,imports_FRA,imports_POR,imports_MOR,exports_FRA,exports_POR,exports_MOR,direct_emissions
1,0,2.495581865310669,2024,20,71.85946146526244,110.980237490071,2.0837142974355847,34.769726472534764,132801.78775563554,88776.59773809277,56470.6751237371,278049.06061748165,420231789745.9749,6905847687.929052,13772102777.76797,427137637433.904,0,61101.63955172183,0,0,5553.1845710555335,1313.3702380700431,1230.9208638336931,22471.62897770009,18064.590157140356,7912.192130289824,59191.66803516185,12646.600425953924,87181.8784217088,9751.591552107478,895.5591164715327,5804.628016326821,4393.277528906811,9861.809001458909,8945.371209287423,16.028812049682344,14.281189341582245,26.201977804545592,23.740134417089127,49.999999999986855,43.58672708265137,287314.8335540009,195644.08935129447,218115.71832899444,91670.74420270644,13338.64874022363,0.6809397444999062,0.7591523056118143,0.04642520045076833,0.14011687613559606,0.1439616249337048,0.9344000513372828,0,0.03192209650826627,0,0,0,0,2329.9320436830362,528.52413109375,92.21396091517856,1755.7535975446428,3324.6298806696427,637.5497124776786,5997341.519763725
2,0,2.650567054748535,2024,17,57.67867577416462,107.19751324954257,0,41.37517950936528,132480.21988022732,91826.80999930605,60192.47778952031,284499.5076690537,434148205867.73627,4221863658.117716,12203290258.923414,438370069525.85394,0,38221.580470558365,0,0,5629.438753600961,1349.7601832805726,1125.4549970144967,18667.502791344097,18293.62625714189,8377.474210096652,91411.64295524228,8338.779449914731,95273.1508066621,8956.15962873393,799.884210526584,12910.899267956547,9736.906206397543,17692.565898593104,15987.04260511199,27.116431877384944,12.937319179423632,24.624960958020772,19.074985753179828,49.99999999999866,41.698383910914075,296444.46865012037,231450.7314542887,250118.2342456328,64993.73719583164,25723.948812538536,0.7807557769865467,0.8437271080973878,0.08677493268696918,0.12218484995496338,0.19117713277925685,0.95164332973216,0.01038480377037887,0.41087568664154095,0.01419564503217074,0,0,0,2394.903637678571,525.7263269642857,89.06375575892858,1734.2917684375,3383.468285803571,689.9149636160713,4112918.725520418
3,0,2.437152147293091,2020,3,80.82368196185108,132.67809703371756,0.5592651025115046,23.471039007094532,130420.85805736664,86269.53571681074,55264.76447535936,271955.1582495381,212227835553.83585,9404197445.97033,12865191850.717102,221632032999.80615,0,64078.276518287465,0,0,5487.872751634209,1454.9090530947376,1608.5590251568033,17352.840865294205,18259.776278571113,9136.546165921316,46298.76064513699,10478.011688021224,91900.08434701092,9721.044128266269,899.3796506898746,3236.3591959760392,2487.3563662926704,2244.39818610476,2045.644386435762,21.211662465256172,5.5137205187407075,28.04839293572351,6.8602660878327635,49.9999999999912,11.832666721709415,276676.1074785187,186693.64926489588,204046.49013019004,89982.45821362284,4533.000753307272,0.6747732970740558,0.7374922684497878,0.01638378100161474,0.1274216350754401,0.1646851603276378,0.9430655917296412,0,8.162604486550151e-6,0,0,0,0,9516.685367321426,4220.664115714286,319.54974607142856,6237.47999857143,6883.642077767856,629.61734125,6283092.184318315
4,0,2.535473108291626,2021,4,53.387648388545216,131.82751981326285,0,37.42583663755116,144414.6062079368,98813.9383963669,66198.91113458973,309427.45573889336,757236524511.8167,4672800270.872639,11741894378.326712,761909324782.6892,0,41721.70805843959,0,0,5414.064674383061,1399.4423648434563,1209.0941056815925,26742.406414414632,20532.288728564447,7915.886291281341,70900.02254988044,12771.5502085107,119371.85047234908,7783.366311195451,833.387713364524,10283.991648750249,7690.234393634045,8334.895926979594,7511.224096022035,16.77564692007367,4.593724663816809,27.804061065658622,10.794290258984043,49.999999999992426,21.07450103107132,316595.0752910221,240108.35967287223,266850.7660872868,76486.71561814984,15201.458495836883,0.758408384755065,0.8428771857616261,0.04801546101708412,0.14051387479590904,0.16144497029999438,0.9468781735336969,0.02168769590329566,0.2379152317982891,0.01398907929003012,0,0,0,11524.073799821428,3286.3510936607136,543.6318820535714,5666.550679464285,8435.623809107141,360.6706346428571,4392226.261230096
5,0,2.632183074951172,2022,10,76.82700232186252,93.3030995429582,20.174607294599152,9.52385060790077,142992.2340646346,99352.85143919715,65881.22764363534,308226.31314746727,1261934346526.6624,7051020928.653717,16875629987.509014,1268985367455.316,0,122269.78413550348,0,0,5599.5402549337905,1436.4554959473808,1488.0393330147544,17679.084511307996,11941.911364285606,8036.716269418926,43123.45305289003,6025.004060224389,95903.19908150675,9275.41487475353,996.5899070144476,1015.3019487266588,781.1252201033453,2096.332148306261,1939.8248786382744,10.675769311647858,10.392335732124554,19.395486677167263,17.827325670697068,49.999999999996945,41.26063286416155,323775.25707053987,175302.35333978385,192981.43785109188,148472.90373075605,2720.9500997967853,0.5414322111142399,0.5960351621589405,0.00840382345586086,0.11053538905751688,0.13553728777831786,0.9311482485961416,0,0,0,0,0,0,2448.0054871875,771.5278222913768,283.5554311306625,6423.284568668445,6924.319799962649,690.3539955653312,11103647.703294046
6,0,2.4402730464935303,2024,10,89.92500383019882,164.6149932077769,4.09580962179407,41.133538580079815,130903.72468264189,86261.63607765205,54092.55872339463,271257.91948408185,433659981496.8668,8731084430.607195,17143682849.21156,442391065927.47394,0,85412.92888344469,0,0,5732.6998313050335,1285.2428373080006,1290.9640697999478,23614.42624572354,18964.10698570879,8404.06746912071,40877.502320286025,15354.629549610503,67811.76679579171,10095.8515505146,1000.5391630254488,9144.583479245746,6902.696336696954,2415.1149291056936,2189.125318839174,16.50964459256376,3.190494013593577,24.84164832009501,4.340574588734617,49.9999999998889,9.497373905939776,279844.7551830501,162508.49331266736,186122.91955839092,117336.2618703827,9091.82171428198,0.5807094480165206,0.6650934709733813,0.03248880511744771,0.14757774612080723,0.1611637931122595,0.910989254326958,0,0,0,0,0,0,1993.237346659081,855.5092185117599,97.4777678125,1396.5466479241072,2944.6326763912234,655.1547443599742,8028237.774430211
7,0,2.4218058586120605,2022,7,108.73474579194225,277.66786117935925,0.00223465430449869,67.38838417994168,142402.58368420118,98096.42762930258,65163.374423659065,305662.3857371627,1315608819514.4773,15393651215.698864,17437479211.22022,1331002470730.1765,0,57922.592165689304,0.17509230272585885,0,5597.986713657597,1338.8650681421834,1411.9757849165694,27796.96543379602,11456.949807142511,7337.527524779876,106908.4936708156,5249.697244757791,90857.09533001586,8598.56757608786,946.18660404315915,13749.033967909914,10324.925787674743,14015.342121097832,12668.908759828391,16.80717790094311,11.454350774510612,23.789766463650533,14.58018857656906,49.99999999999493,31.58102807222828,325423.1154299897,231354.5551712805,259151.5206050765,94068.5602587092,22993.83455126479,0.7109346085190842,0.7963525278855902,0.07065827060527788,0.13965668858840907,0.14874340531223457,0.9435247428065816,0.03122433980033068,0.486240935325693,0.05225296600594942,0,0,0,2569.712842075892,739.5675522840811,287.8569854537241,6445.044754122169,6902.653775089284,654.7056462946429,5753599.666897008
8,0,2.473543882369995,2024,3,79.4329481420768,114.66601934356147,4.090872387402891,33.62407513776295,137133.0595151086,88752.00835680877,54891.027783585894,280776.09565566084,457172025609.0712,7492222606.352488,16347930632.812069,464664248215.4237,0,95247.7406703348,0,0,5410.797550413487,1359.5965312773346,1310.1982688398125,19384.338185760025,18701.90966428448,8180.109648854404,43358.614505626414,3374.795253609361,82088.36110366047,10434.814768991628,983.462998584158,6817.216578137137,5194.465835447989,4686.61957267643,4260.949390866857,23.444878244854088,9.125647154293969,23.620556488743905,10.290638771162278,49.99999999998429,21.512272129928757,289834.91366979055,167122.24246275125,186506.58064851127,122712.67120703928,9455.415228089352,0.5766118386039369,0.6434924567472867,0.03262345142746303,0.12680012546054423,0.160787518498309,0.9298700934626826,0,0,0,0,0,0,2257.644818303572,606.5844805803571,54.61396276785714,1473.8304498214288,3403.20325421875,840.5680874999999,8821251.593965542
9,0,2.353203058242798,2022,2,117.9333827234868,221.29007250263652,0.00389476102290791,37.28062198647432,134995.9057052093,92364.95585260498,61583.59634817883,288944.4579059931,1270101367206.6145,16515551338.198938,17770758432.353733,1286616918544.8132,0,79481.30363419153,0,0,5543.9416987330505,1357.5988123987008,1457.0807291051733,20096.27701024913,11479.205707142395,8648.27315171485,68978.61271104052,3658.5956346100784,91620.26907517726,10062.324215744666,1008.507744184694,5286.153955652373,4041.30761768421,2345.547883569935,2125.7167668637267,22.722057236187503,2.9972168833685284,23.69332820263404,4.0759158910646685,49.999999999989704,9.49317650948208,303392.5450171985,195456.34313218688,215552.6201424361,107936.2018850116,6167.024388802551,0.644235813774221,0.7104743464616673,0.02032688175793165,0.1246549764271509,0.15304342295096454,0.9396079474898552,0.00304107197344905,0.09507036402229828,0.00278099203790405,0,0,0,3264.9830555357134,1043.798622767857,522.361374375,6142.463012046276,6804.981413816964,532.9451054983668,7538303.814157516
10,0,2.5167179107666016,2024,12,73.25278457337143,113.91445808806225,0.5592653476733249,29.0620728581322,133459.1588813083,87966.13964744452,54835.95220950516,276261.2507383048,445258018744.1184,5940595591.628041,15572836997.637234,451198614335.74646,0,92046.2251838509,0,0,5600.431660449989,1248.2058783960751,1424.4463563539607,21045.70872849442,18589.412664285213,8284.810541145514,56423.57341484129,3714.3493411174586,66628.74140483154,9203.627146434654,959.9328966979888,7978.171089283066,6050.298491821654,9174.420536219812,8323.546639613198,23.985103884738248,13.511082688534303,23.44915753458997,21.151663918638008,49.99999999998943,43.58672708264478,285169.5069857493,163804.4891779538,184850.19790644824,121365.01780779558,14373.845132708951,0.5744109561690954,0.6482116543957335,0.05040456563761304,0.13603108576970926,0.1696242487235793,0.9184666715344104,0,1.1174070420172376e-5,0,0,0,0,2163.244122306403,873.0358158555098,86.51465861607143,1493.919536808036,2899.9370773733663,714.5616567706884,8562596.416772405
