iteration,mip_gap,solve_time,baseline_year,day_start,avg_price,max_price,min_price,std_price,residential_demand,commercial_demand,industrial_demand,total_demand,consumer_surplus,producer_surplus,total_cost,net_welfare,coal_gen,combined_cycle_gen,gas_turbine_gen,vapor_turbine_gen,cogeneration_gen,diesel_gen,non_renewable_waste_gen,nuclear_gen,conventional_hydro_gen,run_of_river_hydro_gen,solar_pv_gen,solar_thermal_gen,wind_gen,other_renewable_gen,renewable_waste_gen,pumped_hydro_pumping,pumped_hydro_out,battery_charge,battery_out,initial_ph_stock,initial_batt_stock,mean_ph_stock,mean_batt_stock,max_ph_stock,max_batt_stock,total_generation,renewable_gen,low_carbon_gen,non_renewable_gen,storage_out,share_renewable_gen,share_low_carbon_gen,share_storage_out,share_min_non_ren,min_share_ren,max_share_ren,curt_solar_pv,curt_solar_thermal,curt_wind,load_shedding,total_ens,lole_hours,imports_FRA,imports_POR,imports_MOR,exports_FRA,exports_POR,exports_MOR,direct_emissions
1,0,3.09968900680542,2024,9,83.02199944755905,193.4342124808021,0.00241320561967586,52.06383327756337,133162.84657040922,89726.31743157293,59631.881679413775,282521.04571037943,431831438430.4419,9117377236.532938,14985485634.779375,440948815666.97485,0,60795.77893452877,39.59820268025098,3.792235284298336,6060.326304677031,1308.3341193188296,1216.8344625930897,20241.27524694479,24015.544049566663,9579.070525054534,68976.17651611149,2583.765731367821,87928.6985485088,8724.386885219623,951.8919226581444,14184.845514250115,10679.121194726711,43.57208500163837,39.299700627568704,15.411395241062673,0.04180895243389479,22.71809499510101,0.04917057588282428,49.9999999612983,0.10540921621784843,292425.5081575534,202759.5671335809,223000.8423805257,89665.94102397257,10718.469161165429,0.6933716843345206,0.7625902534479891,0.03665367371231691,0.13052196061380475,0.19840909083384065,0.943736863609518,0.00150798343319924,0.3148938602010747,0.00136099612991902,0,0,0,1974.9481268822956,805.6923144492596,92.72766982142856,1324.5372190848216,3044.4060187126533,661.2477992037242,6034003.5801304765
2,0,3.362839937210083,2020,2,24.89685080769397,152.37051828608963,0,42.13474770450479,129589.49382603784,87974.70547349054,60328.67156265075,277892.87086217914,217132122511.83856,-3397482498.9653783,10196121035.511034,213734640012.87317,0,15428.161568034107,0,0,5558.616404715525,1369.7478731751935,405.7583241560175,27487.369096674105,22622.381647302453,8030.234058860929,77375.46190663677,718.6193729507703,120456.887077019,5847.714199195154,372.7756900605181,14129.636863183066,10497.344250828448,34.29690117095987,30.78282225624806,11.907459932605711,0.0179291463173712,23.27457733585485,0.02042347470307961,49.99999999999841,0.04216370213412083,285674.1483845856,235424.4951177792,262911.8642144533,50249.65326680644,10528.228990189838,0.8241015032303225,0.9203208120201032,0.03685397873669804,0.15855967858088332,0.38365681878310864,0.9413730390979976,0.19405691428413707,0.8265874776889744,0.16713392710457997,0,0,0,9145.93683294643,4354.876010892857,291.2611335714285,6425.560876964284,6655.788170267857,687.8942397321429,2183511.954454306
3,0,3.3088390827178955,2024,5,55.72208058879516,171.75268344493023,0,48.5596945946069,137310.44283503472,93124.02542754634,63762.47138634039,294196.93964892137,439035456998.9524,3974814678.242392,12745576051.254208,443010271677.1947,0,42285.26420609351,25.58691392151839,0.5051036535270553,5677.683253853266,1400.6519680357658,1050.6099308209584,21555.302546387946,23763.821580356213,9864.974086990198,69877.23990194115,6087.145361173308,113609.6814299528,9107.132467760606,826.4968850199152,14847.839855649196,11200.952385935809,55.80284903746408,50.389249639682006,22.03103395917087,0.03393059790627769,23.473970747845836,0.04966055882507436,49.99999999999926,0.10540925533827186,305132.0956361045,233136.49171331627,254691.7942597042,71995.60392278834,11251.341636172388,0.764051029201959,0.8346935569945595,0.03687367470379305,0.12893765560672446,0.18129029853070097,0.9413331101841362,0.0177183560678229,0.47594602849416456,0.02156062448040818,0,0,0,2102.8709787053567,605.1248828794642,72.88301770089286,1528.901996919643,3332.35282015625,789.5299657142856,4464342.968757536
4,0,3.354660987854004,2020,10,87.96842557703833,191.3525313396719,0.0035672638080432,38.491197621047,128666.72498257268,86122.39530284048,56504.01457757358,271293.1348629867,218300009039.61856,11871271032.68998,12502877597.583069,230171280072.30853,0,43696.922705911806,0.9829750731862232,0,5659.0084646723035,1336.9870861227607,1322.3980285592272,29082.731156338737,23460.2944821428,10439.480533232085,43971.2888026644,5832.008235816503,96485.458690061,10761.302405383018,881.3998233293291,6526.722641491249,4974.074941963206,12.244294548739653,10.82048822354956,26.4459566958678,0.00900341771053434,25.396966244972045,0.02056425352389189,49.99999999999871,0.04216370213445526,272930.373500816,191831.34308409737,220914.07424043605,81099.03041671879,4985.061681336286,0.7028581708350016,0.8094154981976587,0.01826495753255319,0.17189530307678627,0.1781393904118481,0.931763551853678,2.4019091064753e-4,0.04556846536085335,8.97073574323004e-5,0,0,0,11245.594198660716,4876.6633775,298.8571595535714,5735.820776785714,6256.768024910713,442.5431614285714,4577724.303566946
5,0,3.1927571296691895,2024,8,60.65106671614059,181.62795504139456,0,47.032571918046074,135352.5411969545,92074.65054589412,62204.82594465392,289632.017687508,438102357750.61945,4136877713.44501,13605961396.75277,442239235464.06445,0,57160.26837780672,82.34577435658436,10.341556414828572,5924.268297947511,1352.328061822114,1067.905437006336,23201.22954595735,24143.6772321345,9655.007086563091,84236.40258515094,2239.7041018362725,82476.73701964082,7966.822459259196,785.0051497882068,16055.4130579119,12107.620047532446,57.2510973333771,51.76400264188839,22.37516512817682,0.05605393326036292,22.36842332558604,0.04878366938790308,49.9999999999781,0.10540925531902266,300302.0448702406,211503.35781827284,234704.58736423025,88798.68705196786,12159.403433934767,0.7043020899496792,0.7815617355041493,0.04049057820831289,0.1366123944816344,0.19510557963312447,0.9455900332788788,0.02445473395318653,0.5911344185475336,0.03404800286722498,0,0,0,1929.6827487349744,775.6143139358669,83.55540529017857,1402.5948074553569,3059.845994984974,698.7155572840812,5725541.003862752
6,0,3.037220001220703,2022,2,94.6556264732163,178.7569376474144,0.00312013417162233,36.8379793221272,133192.9631651573,91029.61617917506,62596.32802424619,286818.90736857854,1265635671015.8389,10504293523.873505,16650484457.009195,1276139964539.7124,0,83068.0439550833,0,0,5654.792523200676,1250.3399507116164,1524.86804175197,22434.539812467912,14349.00713392838,10225.188499889313,71026.68544785309,11431.422118309993,69625.24351089369,10386.856072808016,937.7462286510752,8865.329325389317,6722.906589286742,19.766229688457567,17.7153311110261,21.42669716721239,0.01909721245333737,22.91288813640983,0.02902248929102053,49.99999999999624,0.06324555319999108,301914.7393558606,187982.15507252532,210416.6948849932,113932.5842833353,6740.645668027699,0.6226332489549464,0.6969407831294366,0.02232632193581858,0.13300786849797822,0.140123657644624,0.9333030330476154,0.00124220301737465,0.17446095296984132,0.00208010798387658,0,0,0,3264.9830555357134,1043.798622767857,522.361374375,6142.463012046276,6804.981413816964,532.9451054983668,7831109.58476414
7,0,3.0802619457244873,2024,1,77.76558320232563,130.59523166868277,0.5592650651515578,40.59332816812391,126300.74196195709,83344.565304834,55439.847974508135,265085.15524130047,416710748248.3915,7360137815.318673,14122505935.324535,424070886063.71014,0,64688.8552876004,4.739562436433917,0,5594.685300086012,1297.259553387345,1214.8784804445502,26373.06597104639,22565.04933928487,11479.188660062468,53064.51219153309,3247.1665704135794,75096.75803585895,8555.045108690167,836.7006712967988,8421.42772579884,6387.918895376888,33.083439242592924,30.043772468456677,27.588817629421342,0.05878107239849704,21.38021274315455,0.04920738761720081,49.999999999994166,0.1054092553337215,274018.12860352546,174844.64444660302,201217.71041764945,99173.48415692242,6417.962669141259,0.6380769233687611,0.7343226210729644,0.02342167177715221,0.16146124110268073,0.1748154555481786,0.9187345993767726,0,0.07810022860202492,0,0,0,0,2282.4346836607147,580.3309519419643,50.622867321428565,1565.0404624107146,3434.015581160714,834.4815875892857,6295834.911100282
8,0,3.1442129611968994,2024,15,79.49192219072182,186.7892048254539,0,66.30257072957954,129943.8447243632,89813.69285509009,60534.74786827296,280292.2854477263,420791213986.7671,7969032435.033797,14000487428.44906,428760246421.8008,0,36850.910049517384,0,0,5756.431414566161,1410.864382917399,1271.409091440595,22257.54780260091,22984.295464280385,8905.1396572089,90294.94912068648,3948.2281164586734,88864.06863916617,7992.0893433428655,825.2850257018698,17919.354304900295,13526.406688695008,63.945112583525166,57.71678488609166,25.084483551236293,0.03393432376607209,22.86105050710689,0.05013935595207818,49.99999999999251,0.10540925533212496,291361.22979273257,223814.0670514215,246071.61485402237,67547.16274131108,13584.123481540815,0.768166949359177,0.8445585400263167,0.04662296178254134,0.13836740454286958,0.24154115150310684,0.9436152715124956,0.05796241958777759,0.6746288240695997,0.07811594767140684,0,0,0,2371.852623214286,662.4568600446428,100.13764658482144,1642.1264096874995,3260.5739662499996,697.1621649776786,4032991.647575693
9,0,3.0039570331573486,2020,20,121.50548563278944,221.50530681734207,2.80596750041598,48.05380046572056,130206.0641116313,84809.36917513331,53396.51000538287,268411.94329214754,214383983067.36255,17118620849.093992,15892809125.582596,231502603916.45657,0,58137.44707580802,0,0,5541.059514299299,1302.6328315752935,1462.4400662334913,24224.781537026414,24570.27618750003,10521.014579412406,51013.78607727728,11974.784689868544,69189.89985901672,9063.09873665019,841.2987717726631,6792.5104230446,5156.487170080949,11.357611871115727,10.136771577543346,18.11462895765751,0.01073513297753686,22.1158069775738,0.01925206231582218,49.99999999999975,0.04216370213536141,267842.5458598397,177174.18483488762,201398.96637191405,90668.361024952,5166.636535330915,0.6614863380502727,0.7519304512484167,0.01928982760653187,0.15677313601052612,0.16635098446922256,0.9340520114284948,0,0.04485676209839173,0,0,0,0,12730.270747232144,4684.3165095535705,340.35608187500003,4713.192609285714,6199.314765178571,609.7621773214286,5760783.3010268845
10,0,2.9084999561309814,2022,16,94.23959480753236,182.58228019642877,0.00235274478314386,38.292873490554406,140903.99910500087,98279.12442165926,66266.14511473787,305449.2686413979,1074369779418.2356,12517206045.879562,16296068074.587654,1086886985464.115,0,72877.47058512286,0,0,5726.127339440874,1391.7442223402488,1415.545297936159,29021.336361561294,15248.509178570011,10302.048341828437,71672.88440954922,9386.862752004829,95736.97895372576,8377.387820303611,834.3088578868118,10429.741029776942,7870.585164599308,22.077458095618393,19.920793024707955,15.81106017445493,0.01670830181526184,22.80230011052787,0.02873605164761464,49.999999999978776,0.06324555318406881,321991.23726896266,211559.01346169063,240580.349823252,110432.223807272,7890.517930033765,0.6570334499040209,0.7471642764684702,0.02450538094439735,0.14557702768668224,0.15322622802153915,0.9387141452331416,0.00562178420004111,0.26740837216337254,0.00302809765405354,0,0,0,3245.0248824107143,714.9527532812499,225.44601861607143,5916.9430121875,6939.507753734973,727.9325244046171,7016327.9644782115
