iteration,residential_demand_gwh,commercial_demand_gwh,industrial_demand_gwh,coal_cap_gw,combined_cycle_cap_gw,gas_turbine_cap_gw,vapor_turbine_cap_gw,cogeneration_cap_gw,diesel_cap_gw,nonrenewable_waste_cap_gw,nuclear_cap_gw,conventional_hydro_cap_gw,run_of_river_hydro_cap_gw,solar_pv_cap_gw,solar_thermal_cap_gw,wind_cap_gw,other_renewable_cap_gw,renewable_waste_cap_gw,pumped_hydro_turb_cap_gw,pumped_hydro_pump_cap_gw,batteries_cap_gw,cost_coal_eur_gwh,cost_gas_eur_gwh,cost_diesel_eur_gwh,cost_uranium_eur_gwh,eu_ets_price_eur_tco2
1,14.80794838181948,10.24961777948181,6.950832108136933,0,24.794553829585563,1.2490995251163506,0.5294541673609878,4.200813076255879,0.776692568154137,0.43981053999616354,7.117290000000011,13.70821272161766,3.552723124562174,46.12056354730717,7.011634703954276,47.06035939267642,1.6356308952333325,0.17021785340099757,3.9335778999999937,2566.4631400000053,4.178621053006821,11335.904713687389,22815.47994421677,42783.83210521456,3833.345580250325,125.83998537896277
2,15.07701220972682,10.413550641077483,7.061975904802707,0,24.324509804036012,1.1299647588860116,0.4657488501337491,4.221591359322611,0.7909260000902739,0.42797929623780107,7.117290000000011,13.70719500057183,3.3360908087456096,71.97659991866088,4.388546621277048,56.33096036941124,1.9472100425915448,0.15983151595848272,5.578567356751534,3353.9444332260564,1.1387500000000024,13582.88697340149,30274.748204201733,62551.60778761277,2834.437569012449,152.2049763333335
3,16.596667679724955,11.47649630329964,7.702068533029067,0,24.614929604029857,1.1427489883645583,0.4978307114533114,4.207858650569387,0.7911518615706327,0.4504765990860663,7.117290000000011,13.721887071861588,3.443836463539442,37.02654032390534,1.9704810820500005,49.65057034610326,1.634696228316666,0.1671517343290816,7.25525110000001,4156.598259999998,3.582770702369063,11564.77154134664,30120.85998445756,63809.41796753981,1940.716374452499,136.84203133729395
4,15.385723157827671,10.38484712410977,7.085138801240411,0,24.810697546470884,1.1051690118542383,0.4936355409271203,4.308621532613677,0.7861941982295885,0.4376853606327771,7.117290000000011,13.608228171182391,3.3117918440819616,49.619871692558334,6.111402659843458,60.35384713744155,1.6669608303620913,0.1575852346895807,5.5988107068302035,3363.635230594846,2.411838141786095,14725.28038866833,36386.347558877285,53538.5129209412,1775.3696434390167,147.87664579672554
5,15.56384399496882,10.631932374102297,7.244977448936313,0,24.529364601904035,1.1264365774798282,0.5285633312509652,4.143938781212791,0.7675443875110399,0.4664463017670146,7.117290000000011,13.58164025844403,3.310471874906103,64.61540378336016,4.15955251728893,51.77443985489376,1.7146782304069887,0.1779600099078712,3.9335778999999937,2566.4631400000053,4.680449293256658,10837.894946730426,29476.618748627,50042.9625602072,4075.4474435378456,134.6025002548686
6,15.21772274094198,10.273455443042726,7.0061045890262115,0,24.824786744150657,1.147075651799185,0.5330219851011785,4.246672654139886,0.7466798363722096,0.4439476610217683,7.117290000000011,13.70413984867175,3.40470139801704,43.38480152729336,5.175712670819849,35.9761694661833,1.6334577854000016,0.15444789745801726,7.142366150328939,4102.558529965338,4.401846680707889,11652.897052207163,29355.05877466819,44894.25990238839,1799.5887467650512,141.30216724377271
7,14.91372747363087,10.271150650652157,6.968217553080173,0,24.953495142574845,1.14926862604657,0.5114056312115319,4.302142236388741,0.7992607949733661,0.4647966615495347,7.117290000000011,13.67294814351032,3.5714233374940862,65.02438608058205,2.03321535424976,53.74912948510191,1.7190707900263744,0.1722750720882315,7.25525110000001,4156.598259999998,5.174500000000004,10934.52302868195,36556.25087634015,44125.72973391569,1919.3436245532637,130.88754856061686
8,15.862115370828151,10.888822036134888,7.299589814802256,0,24.5128770673877,1.1564139839795329,0.4789932798883647,4.253670978002608,0.6642933943387728,0.41647383841336005,7.117290000000011,13.697280908444236,3.396121392287057,47.314277468882,4.708027521085623,49.60082268635803,1.78802269115426,0.17226742799544512,6.990541024738907,4029.877549699392,3.4756784978108586,13837.04126226372,33763.56198704765,44532.36975696984,2364.624667786217,142.7321315067875
9,14.662352229817138,10.11159289506792,6.847118735652338,0,24.0112340236376,1.1875391193280924,0.5224593658808763,4.307451170623137,0.7702264580505923,0.4087996156014776,7.117290000000011,13.6791261543611,3.440452858634679,59.31044697942605,1.9705395685499985,50.41999442708397,1.9519120057585684,0.16194858951653446,4.601825715455612,2886.363460181778,1.1332522499999975,10194.08694568068,31761.440728226975,52659.44630623689,2412.875738692879,131.18414057904246
10,15.162419319154806,10.30420172630286,7.037342691584581,0,24.81306696195224,1.084414357468575,0.4914200651510118,4.2197844720882145,0.7610387973351649,0.3920647417248401,7.117290000000011,13.70236087827496,3.538606376112678,56.189661212496475,2.7199037273740627,43.09350750137306,1.6364897481249998,0.16726151313778154,4.996571041989722,3075.334008873249,3.809460048685086,19782.13433305049,38510.441720698676,47489.22670275227,3221.741586185793,132.0214196741086
