iteration,mip_gap,solve_time,baseline_year,day_start,avg_price,max_price,min_price,std_price,residential_demand,commercial_demand,industrial_demand,total_demand,consumer_surplus,producer_surplus,total_cost,net_welfare,coal_gen,combined_cycle_gen,gas_turbine_gen,vapor_turbine_gen,cogeneration_gen,diesel_gen,non_renewable_waste_gen,nuclear_gen,conventional_hydro_gen,run_of_river_hydro_gen,solar_pv_gen,solar_thermal_gen,wind_gen,other_renewable_gen,renewable_waste_gen,pumped_hydro_pumping,pumped_hydro_out,battery_charge,battery_out,initial_ph_stock,initial_batt_stock,mean_ph_stock,mean_batt_stock,max_ph_stock,max_batt_stock,total_generation,renewable_gen,low_carbon_gen,non_renewable_gen,storage_out,share_renewable_gen,share_low_carbon_gen,share_storage_out,share_min_non_ren,min_share_ren,max_share_ren,curt_solar_pv,curt_solar_thermal,curt_wind,load_shedding,total_ens,lole_hours,imports_FRA,imports_POR,imports_MOR,exports_FRA,exports_POR,exports_MOR,direct_emissions
1,0,2.1562509536743164,2024,14,59.40141161928201,119.88901517002144,0.00108361717227489,39.45012421519975,129315.1336123979,89100.62137219333,60098.41832026711,278514.17330501886,427248385318.85376,4169452253.627395,12730738589.333143,431417837572.48114,0,39031.879567953096,0,0,5524.249184060837,1361.6974104943652,1140.1690980776489,45689.43002745533,23025.816562499236,10671.780402914,57639.54987159097,7592.493660170861,88095.13320148831,7626.943632927038,811.9953142762995,10790.548726309142,8124.129338821406,6079.104168607691,5490.8493666805125,13.748012294497975,3.70315089435786,23.312227404627677,8.146141810705831,49.9999999999982,17.61861334164199,288211.17395697156,195463.74866888713,241153.17869634245,92747.42528808449,13614.97870589934,0.6781962891489727,0.8367239041618331,0.0472395935208674,0.22012411463578785,0.2269864561814662,0.9230787003797436,9.328738804788e-4,0.3831135216356799,8.5120603147315e-4,0,0,0,2319.907757433036,722.9948516964287,92.82153689732144,1549.274185267857,3135.656379107142,715.4417752008926,4171181.161294447
2,0,1.9950618743896484,2023,12,45.76593843833477,183.0504864186612,0,54.04773907772838,133351.350536025,92899.78257160044,63698.15134340282,289949.28445102833,582257471755.1001,155979943.5028694,13055256473.616943,582413451698.603,0,29326.145830488364,1.4280035906555475,0,5567.370475385282,1386.651463375724,716.3341788154693,47448.85869947917,16778.272546006814,8061.717883765904,84044.37353725241,2049.561372398035,98229.16035720556,7671.416186268776,574.1076741321511,14193.288914674096,10705.468594447164,3526.9461627079386,3186.137411982188,19.625157131709457,2.5920192986705115,23.596438660654293,2.257149894762457,49.99999999999495,4.80139158068446,301855.40832979325,217408.6196784665,264857.4783779457,84446.78865132683,13891.606012309108,0.7202409288653058,0.8774316148365136,0.04602072922653014,0.21549361546390233,0.16522654060041347,0.9256769217792012,0.1564109585249034,0.77623833138058,0.18964411110650511,0,0,0,1572.6605774999998,494.5188451785715,90.53546323660714,2334.055955334821,2872.9457835937496,678.9880967857143,3354978.0063423286
3,0,2.0045599937438965,2021,17,93.79956843475352,256.4554981342358,0,64.82405110822482,146073.08898772704,101362.12648752348,68362.10917022411,315797.32464547467,910687687361.4458,12192049715.452097,17372538582.848843,922879737076.898,0,60916.33191940041,0,0,5562.088001506554,1387.0474437268122,1291.88066298141,44679.23723102673,23000.799768448724,10098.926852513803,53053.50572007572,3682.4081647014314,106593.52797491956,8047.043900432359,856.4020604856245,4402.163137359862,3392.295793677798,4669.029491314026,4223.034707100254,25.7013628178131,4.15882376084279,30.818624079132626,7.838845207902542,49.99999999999205,15.106287671469463,319169.4772811287,205332.8920222675,250012.12925329435,113836.58525886128,7615.330502871962,0.6433349885816544,0.7833209221102316,0.02385983323889169,0.19546957369253787,0.13096779185808197,0.9197334842669652,0.0188897686212669,0.12214336192775375,0.00716632548442497,0,0,0,10959.087098214284,4422.036659017857,727.1861389285715,6325.818363482144,6602.605726607142,359.2128958035714,6000121.510548493
4,0,1.9502370357513428,2020,5,38.51798294777279,170.40825163420277,0.0024296619701563,52.515938121062106,134900.2444454087,91138.02086805749,62163.91184373235,288202.1771571985,231989659431.11313,-252898627.01606968,11412641112.330338,231736760804.09705,0,14541.516157116212,0,0,5665.406453635616,1378.3556684313558,576.9595938399365,46958.04132968751,23067.60440045061,8403.359962330343,64889.2901131084,4327.057209254641,119424.77638472892,5872.198483422621,409.3212631216553,11139.951893361258,8267.277229400921,7175.14785632008,6479.644840141131,17.655274768170152,5.549296390724081,24.26201181556028,4.760460130839887,49.99999999997488,10.169202500926756,295513.9162217329,226393.6370181694,273351.6783478569,69120.27920356358,14746.922092381625,0.7661014408820581,0.9250044188875118,0.04990263159490793,0.2195373166020272,0.3093609176201447,0.928064224330028,0.11488985701453702,0.6411206892530579,0.08085666279551718,0,0,0,10043.470093125,4048.662629375,324.0094485714286,6278.986704196427,7087.488494107143,470.1863249999999,2132817.456672433
5,0,2.010119915008545,2024,8,50.835048261046,139.86139658349333,0,52.19504715700592,137018.15029835794,93928.30292325608,64234.23970993249,295180.6929315466,443429165814.47784,1639448142.5002189,13575928301.593256,445068613956.978,0,38163.480889437305,0,0,5461.161150708094,1345.6588201890706,889.7419000843407,43780.10500200891,24143.281693991128,9057.704089985044,75942.64375621022,2818.162321373395,96700.4168896359,7200.561139435293,712.0829381361201,13107.459793439068,9879.826487058734,10439.662586134866,9432.967876420296,18.531723504866797,7.846069268787614,23.185717070612633,8.702105726405124,49.999999999998906,19.734506986154205,306215.0176983538,216574.85880552317,260354.9638075321,89640.15889283064,19312.79436453705,0.7072640017246531,0.8502357779983296,0.06306938996558847,0.20027054809909867,0.19404333660738837,0.9317741046506592,0.03706397430983044,0.6329705836945514,0.03719114333445061,0,0,0,1929.6827487349744,775.6143139358669,83.55540529017857,1402.5948074553569,3059.845994984974,698.7155572840812,4075904.348102145
6,0,1.939379930496216,2020,4,78.143241758397,169.88032849858166,0.00140132776540849,48.51206369524144,130936.47308397786,86756.80930911368,57486.243024480944,275179.52541757276,215157506032.57263,9346812985.713938,12482765019.788485,224504319018.2866,0,32990.43358446571,0,0,5583.94987304112,1309.0790891459003,1101.066075950676,46964.864221428565,22973.464062499457,10195.93417726486,63625.9094081244,9098.31026416193,79404.73109117837,8178.514382177122,815.0132745435474,9630.638237863226,7262.454773461304,6262.828268662213,5658.674207531383,14.337757859294648,4.245971412127063,24.78175462668537,8.9447437538263,49.99999999999572,18.559815229181343,282241.3257126644,194291.9328684692,241256.79708989785,87949.3928441951,12921.128981409049,0.6883893858487188,0.8547890585502324,0.04578042903101793,0.22937320411878037,0.20185271264661037,0.9196090473332982,0.00521436333316904,0.12041181449401828,0.00338393100984024,0,0,0,9563.367926339284,4128.936013392858,318.94643133928565,6255.139488214284,7148.63343125,569.2255148214285,3665730.465771221
7,0,2.039889097213745,2021,11,50.140183176241614,252.5111981115369,0,81.6597157085247,132232.6860507353,92074.313697741,63373.099980283885,287680.09972876025,774180168097.5232,292714469.35193145,13651783610.503231,774472882566.8752,0,26119.296813569657,0,0,5656.886826886722,1401.264025810954,539.0169274471342,46597.4480860119,24967.951472628083,8383.532626141396,85485.43485109086,604.2248850420734,90858.12738607165,5730.9484170250435,390.30995383595194,7985.307219639809,6093.9878471627835,15777.64843325422,14222.41987364802,29.50786337588874,4.148435286459865,25.184903884432885,10.699017614280583,49.99999999999272,21.817607670048407,296734.44954877323,216420.52959628857,263017.97768230044,80313.91995248478,20316.407733744945,0.7293407621709803,0.8863749324766859,0.06846662989295285,0.2176785201637347,0.17009496164325236,0.9297779944863164,0.14655252121477724,0.8608148333375311,0.21151460069452463,0,0,0,10419.742251071428,3368.8392841071427,565.4185662499999,6405.948908660714,8566.447967053571,674.1914076785714,3092725.5608260985
8,0,2.1074202060699463,2022,19,86.46749194395125,199.5454239680599,0.00137808009417494,49.82741702087162,139606.8329396451,96291.78115772028,64913.07858583627,300811.6926832017,1062431231575.8154,12433001750.50339,14007487073.263126,1074864233326.3188,0,42695.62233573233,0,0,5593.151969515872,1164.6391790345242,1223.603616082391,47089.4136017857,15515.676508927849,10023.21348379535,62303.35836350421,5526.31303337638,115701.29080182198,8735.151390386607,889.8145172943306,9356.63580301514,7064.316149454333,5445.638646212879,4917.135023160194,18.371834048022524,3.0101742097894597,24.27684392146254,7.362725021682314,49.99999999999002,14.65474729006409,316461.30808088917,218694.87737832332,265784.29098010913,97766.43070256576,11981.451175500715,0.6910635575152959,0.8398634657484677,0.03786071431025684,0.2041045686123573,0.16870825943650097,0.9266291129515752,0.01360755806617874,0.2411529727383258,0.0081739001524439,0,0,0,3104.205234263393,984.9162028348212,182.14708776785716,5822.553306301504,5946.0354645685975,819.3005764654837,4449528.057591356
9,0,1.9847350120544431,2022,10,69.22815048565049,138.40974765622755,0.00103046008202727,49.06482333810521,129657.94272956884,90164.29348341696,61737.43419475893,281559.6704077447,1148733959036.3042,6536283414.671965,13003212478.104591,1155270242450.9763,0,37270.306363539064,0,0,5674.624179241107,1350.3610262579248,1106.4875905725248,47820.08252991072,14927.389205356803,9524.274811568945,75990.5091247218,1533.3015335186874,94584.46352187535,9325.993372439018,827.1186136917029,13587.035572242472,10218.05296748554,2571.219414329734,2322.3942502504738,12.062414191088385,1.7233508676919989,24.889368586139486,2.2263574533823203,49.99999999999926,4.778211031346727,299935.7390098537,206713.8773202445,254533.9598501552,93221.8616896092,12540.447218282385,0.689193885339064,0.8486283118191297,0.04181044666327808,0.2179081265498359,0.21566054856309963,0.9215319557730928,0.05503607214993067,0.512672311434901,0.0635381665130591,0,0,0,2448.0054871875,771.5278222913768,283.5554311306625,6423.284568668445,6924.319799962649,690.3539955653312,4038362.226945895
10,0,2.04801607131958,2023,4,80.62657703513177,181.6470009002043,0,53.29473328496017,133102.18202842833,90538.40220192225,61864.6174658083,285505.20169615885,616085506517.0123,8631818400.41562,14713916031.319084,624717324917.428,0,48882.74254246228,4.715265999601235,0.7358404518265105,5550.427815997838,1334.2532195697145,1160.75156771144,47451.446647916666,17224.098598213513,9935.843087706868,73124.62260651337,3063.5473332211764,80222.21984238195,7742.703277945027,827.0920361419686,11368.796029888388,8576.407038987942,6967.00759198562,6308.9834180172065,23.22824762615433,8.996937429352933,22.25390912453552,7.0535972924554455,49.999999999988034,16.062093879003466,296525.2383522446,192140.1654516867,239591.61209960343,104385.07290055792,14885.396695470932,0.647972383461815,0.807997367883373,0.05019942578307097,0.2199133607700328,0.154990962444457,0.9239419491803798,0.02735782306530754,0.41102718313682374,0.03212446992838314,0,0,0,1432.4902590625,770.1355277008928,94.47335828125,2311.6562816294645,2718.2917481696436,554.1923139955358,4986446.396740035
11,0,1.903251886367798,2023,19,91.39453343952609,174.9152286084667,0,58.06351289686093,134103.58028469523,91618.52774966226,61302.81940225519,287024.9274366133,607770996543.883,11403007930.795189,14753370779.306976,619174004474.6782,0,41101.565243344674,0,0,5659.654531342735,1358.3537286865678,1410.2563805341576,46506.41724159225,16466.054110118883,9932.510908899249,87100.49104523595,2516.0295318473463,78539.29211791219,7906.783845028018,866.9223043117643,14747.320286494054,11114.39313040304,10442.57258425549,9444.65706125379,15.936676953100312,9.91762980460542,23.67810502212181,9.851662078672364,49.99999999999694,21.846068168993774,299364.69751810736,203328.4503925161,249834.86763410835,96036.24712559136,20559.05019317882,0.6791998257584049,0.8345501981541991,0.06867559990748504,0.214841560961037,0.15205917856955262,0.9290774037557268,0.02010244191056776,0.43809214600860535,0.04273803417710176,0,0,0,1907.871634821428,268.69276002232147,110.62628950892856,1696.8204883035714,3494.43539921875,499.471885200893,4371450.435531083
12,0,1.988953113555908,2022,19,69.22915116339405,140.45318420522054,0,36.91710363164269,135195.54172610008,93416.748682489,63121.99711579069,291734.2875243798,1032116132188.4064,7796121657.560794,12804121866.718435,1039912253845.9672,0,41119.696292890774,0,0,5503.819834408382,1434.924944951949,1234.2691699768347,47089.4136017857,15515.676508927994,9987.49788765888,52418.13749868565,8299.215144365899,115506.11597941157,7799.812614860421,811.3419845587931,7189.247963543163,5439.946571350812,5688.8566864276545,5145.081936896582,20.08651395253836,5.054938842426663,23.621839754017863,8.804061167703198,49.99999999999933,17.135450025693107,306719.9912251533,210337.8661916244,257427.27979341013,96382.1250335288,10585.030361285138,0.6857651024031952,0.8392908423254388,0.03451040253034895,0.21175785863685215,0.17008515496923132,0.9222624399777172,0.00655216943904635,0.19957397499199392,0.00338080687874575,0,0,0,3104.205234263393,984.9162028348212,182.14708776785716,5822.553306301504,5946.0354645685975,819.3005764654837,4360521.762726046
