iteration,mip_gap,solve_time,baseline_year,day_start,avg_price,max_price,min_price,std_price,residential_demand,commercial_demand,industrial_demand,total_demand,consumer_surplus,producer_surplus,total_cost,net_welfare,coal_gen,combined_cycle_gen,gas_turbine_gen,vapor_turbine_gen,cogeneration_gen,diesel_gen,non_renewable_waste_gen,nuclear_gen,conventional_hydro_gen,run_of_river_hydro_gen,solar_pv_gen,solar_thermal_gen,wind_gen,other_renewable_gen,renewable_waste_gen,pumped_hydro_pumping,pumped_hydro_out,battery_charge,battery_out,initial_ph_stock,initial_batt_stock,mean_ph_stock,mean_batt_stock,max_ph_stock,max_batt_stock,total_generation,renewable_gen,low_carbon_gen,non_renewable_gen,storage_out,share_renewable_gen,share_low_carbon_gen,share_storage_out,share_min_non_ren,min_share_ren,max_share_ren,curt_solar_pv,curt_solar_thermal,curt_wind,load_shedding,total_ens,lole_hours,imports_FRA,imports_POR,imports_MOR,exports_FRA,exports_POR,exports_MOR,direct_emissions
1,0,2.6426920890808105,2024,13,61.57328689624997,124.35670363061526,0,47.41301250943324,133232.04007882043,92315.46916614652,62586.79414755226,288134.30339251907,217690601560.5747,4475907498.49892,13109519429.55304,222166509059.07367,0,40857.35553696935,0,0,5711.744005343097,1322.8074225848416,1043.9092125432803,23586.08368629272,23222.921116069265,10726.664453096875,91020.3771028114,4494.42663973743,88212.70336730688,7704.820769724118,904.9980980856938,15181.371716534532,11477.376703868176,6821.5487001185,6163.315947997923,28.87914842059715,4.943854790087625,23.570228875574823,6.814329221838823,49.999999999989555,14.193356231379587,298808.82543269836,226286.9255686718,249873.00925496448,72521.8998640266,17640.692664353955,0.7572966603010831,0.8362303519420118,0.05903671900857969,0.13861138081652596,0.2456889041776331,0.943334697203757,0.03267762821116227,0.633513856961319,0.04523153212751663,0,0,0,2289.8486390401786,831.1912213689027,86.64935542410716,1490.509091026786,2980.241058325893,727.2581562276786,4331020.166915444
2,0,2.2867870330810547,2021,16,80.30528668159475,269.1710307953041,0,76.44089350198306,137799.5174554834,96587.88412277444,65811.03937955096,300198.4409578088,429272861584.46936,8003513431.150756,15655603751.73403,437276375015.6201,0,44595.26396718413,0,0,5688.446168003027,1472.4876032576512,924.1923178536504,27826.078327623414,23434.97483034882,8733.432650043163,94277.5755455532,6938.016559893238,84830.42534485838,7673.811212437852,871.1477359105758,11977.807220688628,9073.988174185164,15406.931004663797,13907.815945915208,29.526096659819157,7.845805275158379,27.544710634395745,19.194892887879018,49.99999999999821,37.06280843135373,307265.8598019549,226759.39141796192,254585.4697455854,80506.46838399282,22981.80412111084,0.7379908446845262,0.8285511117625495,0.07479452528804706,0.1484580993244878,0.12779143894078754,0.946147842562743,0.02795337870141734,0.5340145837839182,0.03425812289872398,0,0,0,10789.440256874996,4373.933625357143,678.4611801785716,6541.355301785714,7057.579258660713,404.3974515178571,4659760.625159047
3,0,2.266671895980835,2022,6,95.95381021941108,209.25730895319208,0.00170722617536375,47.490668194395546,137511.83689203218,94735.87129421582,65825.65265297456,298073.36083922256,656273548288.1371,13243919973.40275,15200904785.896011,669517468261.5398,0,55513.36238527841,0,0,5612.8221451348345,1334.133436992004,1369.2418665207188,29681.10203397501,14052.967660713764,10424.171666754177,74995.69844409413,5053.937773073834,108723.99726407896,8150.076316098245,861.7024005744568,8737.90723398671,6610.537205560928,6816.439947195466,6140.9347362369635,25.165130200231282,5.306640932663376,26.171618815412774,9.893104566221714,49.99999999999027,20.12515108507793,315773.26490852283,222262.60304032092,251943.70507429595,93510.66186820185,12751.47194380846,0.7038677042678352,0.7978626852633713,0.04038173386053587,0.14998360502677405,0.16515902967639148,0.9368136507476794,0.00775607841852632,0.19230280521297893,0.01542474168266416,0,0,0,2831.9782456696435,612.6417061383929,312.13833439732144,6395.6002963543115,7154.591832767856,632.5008957885456,5552626.152067216
4,0,2.2754011154174805,2020,1,45.4594765591892,166.2000782857854,0,53.32692023188383,127982.638874958,85569.69357037806,57637.72533517604,271190.0577805121,103348678428.58533,1066880524.6339828,10338711512.867697,104415558953.21931,0,11950.92473392417,0,0,5537.405145874251,1366.2936435740316,577.227673936809,17232.477579683895,22644.30265806079,9065.25278109293,101030.74858024158,3681.1435491208113,98528.75129053822,8843.783763591597,566.3373191386643,17013.160564386984,12784.770206053108,13525.63336551578,12190.158826264182,16.61232208528196,6.313185122002561,23.047863550090753,10.31789316345444,49.99999999999894,22.908209568069974,281024.6808776651,244360.35210062625,261592.82968031015,36664.328777038856,24974.929033072513,0.869533420827904,0.930853577925371,0.08887094526741773,0.12395586357251928,0.3804772117215941,0.954224678526406,0.08811622607263081,0.7208178618524222,0.11308756403773924,0,0,0,8780.606869285713,4623.1615280357155,298.25441008928567,6586.941241160714,6600.703165446426,717.269731875,1901650.6628047852
5,0,2.3851311206817627,2023,4,73.22515999976747,144.79214310201445,0,45.6312737165044,133362.74188315426,91080.20866961898,62474.092286211984,286917.0428389852,311325684291.3449,7219805343.830439,13920978506.315016,318545489635.1754,0,53079.67381799222,0,0,5651.898591608091,1289.6760894284575,1239.2343284669028,18371.397529604503,17224.098598211345,9912.070393049582,97987.17084889064,4857.10583436137,80197.24773395529,8544.590318689994,909.0408734292035,12766.154149136892,9614.1792079661,16831.170472903952,15227.774580201967,20.506411933084085,21.088626057732075,22.598427061398674,19.073657469769504,49.999999999950674,43.15998103881135,299263.22243735177,219631.34207857007,238002.73960817457,79631.88035878174,24841.953803135988,0.7339068940372319,0.7952956520008014,0.08301037996186264,0.12073322478043882,0.15674727177828324,0.9506247208173942,0.01658244519575835,0.4189300700784048,0.02780080237873328,0,0,0,1432.4902590625,770.1355277008928,94.47335828125,2311.6562816294645,2718.2917481696436,554.1923139955358,5340277.559594108
6,0,2.397758960723877,2022,7,66.23249284641254,107.81031403420214,0.00119595998512522,26.540130143178995,139416.35618391816,96968.00128873612,67332.25935726051,303716.61682991474,664414487974.6532,6880455864.460107,13198048495.59986,671294943839.1133,0,58560.77547831771,0,0,5522.860453403427,1439.5680763904943,1261.459025626043,23108.783403431564,14321.18725892848,9437.295331218238,81976.39036967447,8019.010411526929,107669.26988834818,9599.721878526252,905.889482974244,7970.302368315393,5962.777640147132,11946.118245026575,10809.007497422956,12.315547054377236,11.61415987492551,21.908111827693013,17.69262505380942,49.99999999999925,38.58449791190965,321822.2511480136,231928.80085384284,255037.58425727443,89893.45029417076,16771.78791741781,0.7206736017366723,0.792479647841307,0.05211506618199645,0.12606335418123216,0.19270163605772567,0.9443049965922474,0.00851886286204428,0.1832348834304268,0.00699367256920957,0,0,0,2569.712842075892,739.5675522840811,287.8569854537241,6445.044754122169,6902.653775089284,654.7056462946429,5808973.850023575
7,0,2.3132951259613037,2022,8,83.42302337356755,164.0852396521438,0.00179430676419906,42.215467327583625,135648.05840599522,94308.99650435057,65042.78423616389,294999.8391465097,636060140773.9996,10380410069.392933,14214157772.021082,646440550843.3926,0,54904.847696628574,0,0,5546.080525098051,1231.2049417560509,1321.8349722499836,25497.562947516035,14379.8881517855,9905.392366793594,96658.40460547149,3460.491145061107,91019.22598257056,9094.549366754474,991.2600492703056,11124.259593702429,8345.752295039934,14534.274954944249,13173.449816487348,10.679190039482227,20.249161601427,24.31813219233774,18.511685734448346,49.999999999996554,39.46004005389095,314010.7991780705,225509.26809471496,251006.83104223097,88501.5310833555,21519.202113254265,0.7181576833821955,0.7993573205101427,0.06853013389851942,0.13727388158385712,0.19396267197632083,0.9450330062067156,0.01495298114196586,0.3509666072031651,0.02278009486957455,0,0,0,2487.115391874999,749.3768447020911,289.06903206816247,6489.770645699694,6807.172109397322,675.2706562053571,5472806.343099663
8,0,2.213079929351806,2024,20,68.9560201219231,147.22163924044557,0.0011267369355819,54.562589992329215,131134.75678705343,89097.28502437363,59536.29677744076,279768.3385888681,202458525359.5553,6016945639.820921,12995764057.200283,208475470999.37625,0,34205.661886491216,0,0,5718.245483552636,1405.617442393198,1122.3216274558656,27093.8515460542,22580.737696424592,10221.170060106338,86428.3388854203,8240.10127719532,84541.07196137292,9191.749818544216,873.8561012229611,15403.452809205235,11638.347321373236,11833.513847664231,10708.009743863851,24.395955222009796,12.3498013645645,25.0199669852504,13.315207105869728,49.99999999999301,27.765030728782833,291622.72657804016,222077.02859188447,249170.88013793863,69545.6979861557,22346.35706666609,0.761521679732513,0.8544288816641967,0.07662762545595382,0.15564433414453008,0.18441898249104008,0.9406299345654776,0.00468645800851486,0.3980697287318892,0.0053790019414659,0,0,0,2329.9320436830362,528.52413109375,92.21396091517856,1755.7535975446428,3324.6298806696427,637.5497124776786,3800805.976277949
9,0,2.440556049346924,2021,15,89.37981444446461,255.4262794239637,0.0019630501530537,68.40204433712348,135253.0836505282,94145.25261067292,63814.11087123983,293212.4471324483,415257049061.6747,9611552693.171738,16528916478.529242,424868601754.8464,0,60578.296630258534,0,0,5464.551020564743,1334.4781901792064,1283.305666861035,27824.319368878732,23755.24255357004,10005.040839423697,67734.04226540393,13986.768930245713,78152.30992031407,8356.839173182158,866.9731035036582,10035.840896628904,7566.563341748391,4293.357280265434,3884.849664721708,15.493110141658384,4.192478478725275,26.82845593492813,7.112016815500393,49.999999999985675,14.2154921749973,299342.1699432776,202857.21906602092,230681.53843489967,96484.95087725666,11451.413035533713,0.6776767172645951,0.7706282695772919,0.038255261654927,0.15166925898774578,0.12780874997271133,0.9357183865850034,0.00175434003838104,0.1825153492180952,0.00225397936762816,0,0,0,10453.941869553568,4504.923754642857,651.652221517857,6663.5846924107145,7377.719927053572,422.9488033928571,5950775.998235146
10,0,2.3980050086975098,2022,14,35.43990148932048,118.11408789659896,0,45.162827697302546,132486.7449133542,94111.02876899844,65353.414822227336,291951.18850458,540643751633.0562,-989232243.8353612,11687506550.158236,539654519389.2208,0,26766.420092311404,0,0,5595.91178291382,1422.5979796852378,615.0402226462941,24099.05492001452,15347.441792442884,9425.56071141615,89344.67904090711,2880.609538823334,128399.32132098167,6701.6165977250075,505.71832604534507,10566.81146523877,7999.720197278726,22335.713575185753,20135.74181326084,29.81366375640117,16.897347246076297,22.73299622416592,17.416535332982004,49.999999999995445,38.365612376410255,311103.97713976156,252604.95214204703,276704.0070620616,58499.02499771449,28135.462013610664,0.8119631078472708,0.8894261320798031,0.09043748740303303,0.13492033113563057,0.2521897983928717,0.9492902595262138,0.08354285938405137,0.661342068095297,0.08226193244294622,0,0,0,2907.4434178125,735.5955128867598,262.85231831086696,6191.424144055204,7047.011318801938,673.9068315474742,3147475.423749545
